147,"SELECT u.up_OBJID as [OBJID], # + cast (x.objId as varchar (#) ) + #+ cast (x.objId as varchar (#) ) + # as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #x x, #upload u, PhotoTag p WHERE u.up_id = x.up_id and x.objID = p.objID ORDER BY x.up_id"
2019-10-29 15:51:00,1
2019-10-29 15:53:00,1
2019-10-29 15:56:00,1
2019-10-29 15:58:00,1
2019-10-29 16:13:00,1
2019-10-29 16:21:00,1
2019-10-29 16:22:00,1
2019-10-29 16:23:00,1
2019-10-29 16:25:00,1
2019-10-29 16:26:00,1
2019-10-29 16:27:00,1
2019-10-29 16:28:00,1
2019-10-29 16:29:00,1
2019-10-29 16:30:00,1
2019-10-29 16:31:00,1
2019-10-29 16:32:00,1
2019-10-29 16:34:00,1
2019-10-29 16:35:00,1
2019-10-29 16:36:00,1
2019-10-29 16:37:00,1
2019-10-29 16:38:00,1
2019-10-29 16:39:00,1
2019-10-29 16:41:00,1
2019-10-29 16:42:00,1
2019-10-29 16:43:00,1
2019-10-29 16:44:00,1
2019-10-29 16:45:00,1
2019-10-29 16:46:00,1
2019-10-29 16:48:00,1
2019-10-29 16:50:00,1
2019-10-29 16:51:00,1
2019-10-29 16:52:00,1
2019-10-29 16:53:00,1
2019-10-29 16:55:00,1
2019-10-29 16:56:00,1
2019-10-29 16:57:00,1
2019-10-29 16:58:00,1
2019-10-29 16:59:00,1
2019-10-29 17:00:00,1
2019-10-29 17:02:00,1
2019-10-29 17:04:00,1
2019-10-29 17:07:00,1
2019-10-29 17:08:00,1
2019-10-29 17:11:00,1
2019-10-29 17:12:00,1
2019-10-29 17:18:00,1
2019-10-29 17:19:00,1
2019-10-29 17:21:00,1
2019-10-29 17:22:00,1
2019-10-29 17:23:00,1
2019-10-29 17:24:00,1
2019-10-29 17:25:00,1
2019-10-29 17:26:00,1
2019-10-29 17:27:00,1
2019-10-29 17:28:00,1
2019-10-29 17:29:00,1
2019-10-29 17:30:00,1
2019-10-29 17:31:00,1
2019-10-29 17:32:00,1
2019-10-29 17:36:00,1
2019-10-29 17:37:00,1
2019-10-29 17:38:00,1
2019-10-29 17:39:00,1
2019-10-29 17:40:00,1
2019-10-29 17:42:00,1
2019-10-29 17:43:00,1
2019-10-29 17:44:00,1
2019-10-29 17:45:00,1
2019-10-29 17:46:00,1
2019-10-29 17:47:00,1
2019-10-29 17:48:00,1
2019-10-29 17:50:00,1
2019-10-29 17:51:00,1
2019-10-29 17:52:00,1
2019-10-29 17:54:00,1
2019-10-29 17:55:00,1
2019-10-29 17:56:00,1
2019-10-29 18:03:00,1
2019-10-29 18:05:00,1
2019-10-29 18:12:00,1
2019-10-29 18:17:00,1
2019-10-29 18:18:00,1
2019-10-29 18:19:00,1
2019-10-29 18:21:00,1
2019-10-29 18:22:00,1
2019-10-29 18:23:00,1
2019-10-29 18:24:00,1
2019-10-29 18:26:00,1
2019-10-29 18:27:00,1
2019-10-29 18:28:00,1
2019-10-29 18:29:00,1
2019-10-29 18:31:00,1
2019-10-29 18:32:00,1
2019-10-29 18:33:00,1
2019-10-29 18:34:00,1
2019-10-29 18:36:00,1
2019-10-29 18:37:00,1
2019-10-29 18:38:00,1
2019-10-29 18:39:00,1
2019-10-29 18:41:00,1
2019-10-29 18:42:00,1
2019-10-29 18:43:00,1
2019-10-29 18:44:00,1
2019-10-29 18:45:00,1
2019-10-29 18:46:00,1
2019-10-29 18:47:00,1
2019-10-29 18:49:00,1
2019-10-29 18:50:00,1
2019-10-29 18:51:00,1
2019-10-29 18:52:00,1
2019-10-29 18:53:00,1
2019-10-29 18:55:00,1
2019-10-29 18:56:00,1
2019-10-29 18:57:00,1
2019-10-29 18:59:00,2
2019-10-29 19:00:00,1
2019-10-29 19:01:00,1
2019-10-29 19:02:00,1
2019-10-29 19:04:00,1
2019-10-29 19:06:00,1
2019-10-29 19:07:00,1
2019-10-29 19:08:00,1
2019-10-29 19:10:00,1
2019-10-29 19:12:00,1
2019-10-29 19:13:00,1
2019-10-29 19:14:00,1
2019-10-29 19:16:00,1
2019-10-29 19:17:00,1
2019-10-29 19:18:00,1
2019-10-29 19:19:00,1
2019-10-29 19:20:00,1
2019-10-29 19:22:00,1
2019-10-29 19:23:00,1
2019-10-29 19:24:00,1
2019-10-29 19:26:00,1
2019-10-29 19:27:00,1
2019-10-29 19:28:00,1
2019-10-29 19:29:00,1
2019-10-29 19:31:00,1
2019-10-29 19:32:00,1
2019-10-29 19:33:00,1
2019-10-29 19:35:00,1
2019-10-29 19:36:00,1
2019-10-29 19:37:00,1
2019-10-29 19:38:00,1
2019-10-29 20:33:00,1
