2,"select s.bestobjid, s.ra, s.dec, if (instrument = #, z, z_noqso) as z, if (instrument = #, zerr, zerr_noqso) as zerr, g.* into mydb.galspecline_all_DR1# from galSpecLine g, specobj s where g.specobjid = s.specobjid and if (instrument = #, class, class_noqso) = #"
2019-04-03 12:28:00,1
2019-04-03 13:15:00,1
