2,"select count (*) as count from galaxy p, specobj s, galSpecLine gsl where p.objid = s.bestobjid and s.z BETWEEN # AND # and s.snMedian> # and s.waveMin< #. and s.waveMax> #."
2019-12-16 21:48:00,1
2019-12-16 21:50:00,1
