5,"select top # run, rerun, camcol, field, p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid, s.plate, s.mjd, s.fiberid from photoobj p, specobj s where p.objid = s.bestobjid and (p.r BETWEEN # AND #)"
2019-03-29 21:07:00,1
2019-03-29 21:27:00,1
2019-03-29 21:38:00,2
2019-04-02 19:53:00,1
