3,"SELECT s.specObjID, s.ra, s.dec, s.z, s.zErr, s.zConf, s.petroMag_u, s.petroMag_g, s.petroMag_r, s.petroMag_i, s.petroMag_z, s.petroMagErr_u, s.petroMagErr_g, s.petroMagErr_r, s.petroMagErr_i, s.petroMagErr_z, s.extinction_u, s.extinction_g, s.extinction_r, s.extinction_i, s.extinction_z, s.dered_u, s.dered_g, s.dered_r, s.dered_i, s.dered_z, p.petroR5#_u, p.petroR5#_g, p.petroR5#_r, p.petroR5#_i, p.petroR5#_z, p.petroR5#Err_u, p.petroR5#Err_g, p.petroR5#Err_r, p.petroR5#Err_i, p.petroR5#Err_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.petroR9#Err_u, p.petroR9#Err_g, p.petroR9#Err_r, p.petroR9#Err_i, p.petroR9#Err_z, r.T_type, r.T_typeErr into mydb.MyTable from SpecPhotoAll AS s JOIN PhotoObjAll AS p ON s.objID = p.objID JOIN RC3 AS r ON s.objID = r.objId WHERE s.petroMagErr_r < # AND s.zConf > # AND s.z > # AND s.z < # AND s.petroMag_r < # ORDER BY s.specObjID"
2019-01-31 18:48:00,1
2019-01-31 18:49:00,2
