5,"SELECT ra, dec, flags, g, r, i, z, err_g, err_r, err_i, err_z, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfmagerr_g, psfmagerr_r, psfmagerr_i, psfmagerr_z, extinction_g, extinction_r, extinction_i, extinction_z into mydb.ra_#_# from PhotoPrimary WHERE ( (flags & #) ! = #) AND ( (flags & #) = #) AND ( ((flags & #) = #) or (psfmagerr_r < = # and psfmagerr_i< = # and psfmagerr_g< =#) ) AND ( ((flags & #) = #) or (flags & #) = #) AND (run = # or run = #) AND (type = #) AND (ra BETWEEN # and #) AND (psfMag_i BETWEEN # and #)"
2019-06-17 05:53:00,1
2019-06-17 08:23:00,3
2019-06-17 08:24:00,1
