120,"SELECT p.objID, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, p.clean, p.flags, z.z as photoz, z.zErr as photozErr, s.specObjID as specObjID, s.z as specz, s.zErr as speczErr, dbo.fPhotoFlagsN (p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE p.petroRad_r > # and p.dered_r < # and dered_r > # and p.dered_i < # and p.dered_z < # and (flags & dbo.fPhotoFlags (#) ) = # and (flags & dbo.fPhotoFlags (#) ) = # and (flags & dbo.fPhotoFlags (#) ) = # and p.ra between # and # and p.dec between # and #"
2019-03-27 18:31:00,8
2019-03-27 18:32:00,9
2019-03-27 18:33:00,1
2019-03-27 18:35:00,1
2019-03-27 18:36:00,1
2019-03-27 18:37:00,1
2019-03-27 18:38:00,1
2019-03-27 18:39:00,1
2019-03-27 18:40:00,1
2019-03-27 18:45:00,2
2019-03-27 18:46:00,2
2019-03-27 18:47:00,2
2019-03-27 18:48:00,2
2019-03-27 18:49:00,2
2019-03-27 18:50:00,4
2019-03-27 18:51:00,1
2019-03-27 18:52:00,1
2019-03-27 18:53:00,1
2019-03-27 18:54:00,1
2019-03-27 18:55:00,2
2019-03-27 18:57:00,2
2019-03-27 18:59:00,1
2019-03-27 19:00:00,1
2019-03-27 19:01:00,1
2019-03-27 19:02:00,1
2019-03-27 19:03:00,2
2019-03-27 19:05:00,1
2019-03-27 19:06:00,1
2019-03-27 19:07:00,2
2019-03-27 19:08:00,5
2019-03-27 19:09:00,4
2019-03-27 19:10:00,5
2019-03-27 19:11:00,4
2019-03-27 19:12:00,2
2019-03-27 19:13:00,1
2019-03-27 19:14:00,2
2019-03-27 19:15:00,3
2019-03-27 19:16:00,6
2019-03-27 19:17:00,9
2019-03-27 19:18:00,7
2019-03-27 19:19:00,9
2019-03-27 19:20:00,7
