4,"SELECT TOP # G.objID, G.ra, G.dec, distance From Galaxy as G JOIN dbo.fGetNearbyObjEq (#, # , #) AS GN ON G.objID = GN.objID ORDER BY distance"
2019-10-07 07:29:00,1
2019-10-07 07:31:00,2
2019-10-07 07:32:00,1
