4,"SELECT TOP # CONVERT (DECIMAL (#, #) , p.ra) , CONVERT (DECIMAL (#, #) , p.objid) , CONVERT (DECIMAL (#, #) , p.modelMag_u) FROM photoObjAll AS p"
2019-04-20 04:45:00,3
2019-04-20 04:46:00,1
