40,"select top # ra, dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-09 21:56:00,1
2019-02-13 15:30:00,2
2019-02-13 15:32:00,1
2019-02-19 21:20:00,1
2019-02-21 20:45:00,1
2019-03-15 21:52:00,2
2019-03-21 16:52:00,1
2019-03-22 19:10:00,1
2019-04-09 17:23:00,1
2019-04-10 12:20:00,1
2019-05-19 18:01:00,1
2019-05-19 18:02:00,1
2019-06-12 01:25:00,2
2019-06-12 02:49:00,1
2019-06-14 13:33:00,1
2019-06-19 14:28:00,1
2019-06-19 14:39:00,1
2019-06-19 15:22:00,3
2019-06-27 13:10:00,1
2019-06-28 11:18:00,1
2019-07-17 05:35:00,1
2019-07-27 17:05:00,2
2019-08-14 18:23:00,2
2019-09-04 02:10:00,3
2019-09-04 02:21:00,1
2019-09-28 21:46:00,1
2019-10-15 18:26:00,1
2019-10-30 00:17:00,1
2019-11-24 16:42:00,3
