801,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq (#, #, #) as N on p.objid = N.objid where ( (p.flags & #) ! = #) AND ( (p.flags & #) = #) AND ( ((p.flags & #) = #) AND (p.psfmagerr_i < = #) ) AND ( ((p.flags & #) = #) or (p.flags & #) = #)"
2019-01-01 03:29:00,1
2019-01-01 03:54:00,1
2019-01-01 04:12:00,1
2019-01-01 12:40:00,1
2019-01-01 13:22:00,1
2019-01-03 03:37:00,1
2019-01-03 11:30:00,1
2019-01-04 08:06:00,1
2019-01-04 13:55:00,1
2019-01-05 15:59:00,1
2019-01-07 07:42:00,1
2019-01-07 11:14:00,1
2019-01-08 07:55:00,1
2019-01-09 03:34:00,1
2019-01-09 10:59:00,1
2019-01-11 06:44:00,1
2019-01-11 11:59:00,1
2019-01-12 03:33:00,1
2019-01-12 13:54:00,1
2019-01-13 08:13:00,1
2019-01-13 08:31:00,1
2019-01-13 17:03:00,1
2019-01-13 17:35:00,1
2019-01-14 12:25:00,1
2019-01-15 12:45:00,1
2019-01-17 04:28:00,1
2019-01-18 09:52:00,1
2019-01-18 09:56:00,1
2019-01-18 10:05:00,1
2019-01-18 10:08:00,1
2019-01-18 10:21:00,1
2019-01-18 10:34:00,1
2019-01-18 10:56:00,1
2019-01-19 07:55:00,1
2019-01-19 13:19:00,1
2019-01-21 02:57:00,1
2019-01-21 10:35:00,1
2019-01-21 10:36:00,2
2019-01-21 10:37:00,2
2019-01-21 10:46:00,1
2019-01-21 10:56:00,5
2019-01-21 11:14:00,2
2019-01-21 11:31:00,4
2019-01-21 11:32:00,1
2019-01-21 22:33:00,1
2019-01-21 22:34:00,1
2019-01-21 22:35:00,1
2019-01-21 22:37:00,1
2019-01-21 22:38:00,1
2019-01-21 22:39:00,1
2019-01-21 22:40:00,1
2019-01-21 22:41:00,1
2019-01-21 22:42:00,1
2019-01-21 22:43:00,1
2019-01-21 22:46:00,2
2019-01-21 22:49:00,1
2019-01-21 22:50:00,1
2019-01-21 22:54:00,1
2019-01-22 10:10:00,1
2019-01-22 10:48:00,1
2019-01-22 10:49:00,1
2019-01-22 10:50:00,1
2019-01-22 10:51:00,1
2019-01-22 10:53:00,1
2019-01-22 10:54:00,1
2019-01-22 10:55:00,1
2019-01-22 10:56:00,1
2019-01-22 10:57:00,1
2019-01-22 10:58:00,1
2019-01-22 10:59:00,1
2019-01-22 11:00:00,1
2019-01-22 11:03:00,1
2019-01-22 11:04:00,1
2019-01-22 11:07:00,1
2019-01-22 11:08:00,1
2019-01-22 11:09:00,1
2019-01-22 11:11:00,1
2019-01-22 11:15:00,2
2019-01-22 11:19:00,1
2019-01-22 11:20:00,1
2019-01-22 11:21:00,1
2019-01-22 13:03:00,1
2019-01-22 13:05:00,1
2019-01-22 13:08:00,1
2019-01-22 13:12:00,1
2019-01-22 13:15:00,1
2019-01-22 13:17:00,1
2019-01-22 13:19:00,1
2019-01-22 13:27:00,1
2019-01-22 14:22:00,1
2019-01-22 14:25:00,1
2019-01-23 08:25:00,1
2019-01-23 14:53:00,1
2019-01-24 03:10:00,1
2019-01-24 03:21:00,1
2019-01-24 04:47:00,1
2019-01-24 06:01:00,1
2019-01-25 02:28:00,1
2019-01-25 02:46:00,1
2019-01-25 06:35:00,1
2019-01-27 03:22:00,1
2019-01-27 06:54:00,1
2019-01-27 08:01:00,1
2019-01-27 08:18:00,1
2019-01-28 02:17:00,1
2019-01-28 05:46:00,1
2019-01-29 06:17:00,1
2019-01-29 07:03:00,1
2019-01-29 08:06:00,1
2019-01-29 11:44:00,2
2019-01-30 08:00:00,1
2019-01-30 11:12:00,1
2019-01-30 11:15:00,1
2019-01-30 12:10:00,1
2019-01-30 12:28:00,1
2019-01-30 12:46:00,1
2019-02-02 04:11:00,1
2019-02-02 04:15:00,1
2019-02-02 04:23:00,1
2019-02-02 04:29:00,1
2019-02-02 04:50:00,1
2019-02-02 05:45:00,1
2019-02-02 06:44:00,1
2019-02-02 07:07:00,1
2019-02-02 07:35:00,1
2019-02-02 08:28:00,1
2019-02-02 09:27:00,1
2019-02-03 02:15:00,1
2019-02-03 02:35:00,1
2019-02-03 02:54:00,1
2019-02-03 04:14:00,1
2019-02-03 05:13:00,1
2019-02-03 06:49:00,1
2019-02-03 07:08:00,1
2019-02-03 07:11:00,1
2019-02-03 16:13:00,2
2019-02-04 07:18:00,1
2019-02-05 03:30:00,1
2019-02-05 03:49:00,1
2019-02-05 04:10:00,1
2019-02-05 05:21:00,1
2019-02-05 06:03:00,1
2019-02-05 06:39:00,1
2019-02-05 06:50:00,1
2019-02-05 07:11:00,1
2019-02-05 16:39:00,2
2019-02-05 20:07:00,1
2019-02-05 20:25:00,1
2019-02-05 20:43:00,1
2019-02-06 05:22:00,1
2019-02-06 08:14:00,1
2019-02-06 09:41:00,1
2019-02-06 12:42:00,1
2019-02-07 00:48:00,2
2019-02-07 07:45:00,1
2019-02-07 14:11:00,1
2019-02-07 14:22:00,1
2019-02-07 14:33:00,1
2019-02-07 16:17:00,1
2019-02-07 16:18:00,2
2019-02-07 17:38:00,1
2019-02-07 17:41:00,1
2019-02-08 03:28:00,2
2019-02-08 14:02:00,1
2019-02-12 08:34:00,1
2019-02-12 08:54:00,1
2019-02-13 05:49:00,1
2019-02-13 14:01:00,1
2019-02-14 03:07:00,1
2019-02-14 17:18:00,1
2019-02-15 02:29:00,1
2019-02-15 03:03:00,1
2019-02-15 03:22:00,1
2019-02-16 03:29:00,1
2019-02-20 14:40:00,1
2019-02-21 01:33:00,1
2019-02-21 10:26:00,1
2019-02-22 14:01:00,1
2019-02-23 01:09:00,1
2019-02-23 01:36:00,1
2019-02-25 04:58:00,1
2019-02-25 05:17:00,1
2019-02-25 11:10:00,1
2019-02-25 11:14:00,1
2019-02-25 15:38:00,1
2019-02-28 17:12:00,1
2019-02-28 17:13:00,1
2019-03-01 15:38:00,1
2019-03-02 08:42:00,1
2019-03-03 11:28:00,1
2019-03-03 12:37:00,1
2019-03-04 16:12:00,1
2019-03-04 16:17:00,1
2019-03-07 15:46:00,2
2019-03-08 06:33:00,1
2019-03-08 06:41:00,1
