4,"SELECT objid, ra, dec, modelmag_u, modelmag_u-#*log1# (#E+#*z) +# as abs_mag_u, z ---from Galaxy ---where ObjID = # SELECT top # objid, ra, dec, modelmag_r, modelmag_r-#*log1# (#E+#*z) +# as abs_mag_r, z FROM SpecPhoto WHERE ---ObjID = # modelmag_r-#*log1# (#E+#*z) +# < #AND z> #"
2019-02-24 20:05:00,2
2019-02-25 11:06:00,1
2019-02-25 11:09:00,1
