8,"SELECT g.objid, g.ra, g.dec, g.insidemask, g.clean, g.rerun, g.run, g.camcol, g.field, g.probpsf, g.psfmag_r, g.psfmagerr_r, g.cmodelMag_r, g.cmodelmagerr_r, p.z, p.zerr into mydb.DR1#NGHC from GalaxyTag as g JOIN Photoz as p on g.ObjId = p.ObjID WHERE g.ra between # and # AND g.type = # AND g.cmodelmag_r < # AND g.clean = #"
2019-11-25 05:15:00,7
2019-11-25 05:25:00,1
