16,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND p.g-p.r between # and # AND s.class = # AND s.ra between # and #"
2019-04-08 01:31:00,1
2019-04-08 01:34:00,1
2019-04-08 01:45:00,1
2019-04-08 02:50:00,1
2019-04-08 03:12:00,1
2019-04-09 01:07:00,1
2019-04-09 01:10:00,1
2019-04-09 01:12:00,1
2019-04-09 01:13:00,1
2019-04-09 01:14:00,1
2019-04-09 01:25:00,1
2019-04-09 01:32:00,1
2019-04-09 02:31:00,1
2019-04-09 04:14:00,2
2019-04-09 07:39:00,1
