3,"SELECT m.objra, m.objra, m.objdec, m.objdec FROM mangaDRPall AS m WHERE m.objra BETWEEN # AND # AND m.objdec BETWEEN # AND #"
2019-12-28 11:09:00,2
2019-12-28 14:28:00,1
