28,select top # * from SpecObjAll
2019-01-04 07:17:00,1
2019-02-16 08:26:00,3
2019-02-16 08:27:00,1
2019-02-16 08:42:00,1
2019-02-25 08:22:00,1
2019-02-26 00:29:00,1
2019-02-26 00:33:00,2
2019-02-26 01:07:00,2
2019-02-26 01:10:00,1
2019-03-25 15:42:00,1
2019-05-31 16:35:00,1
2019-06-10 13:05:00,1
2019-06-30 13:21:00,1
2019-10-07 13:10:00,1
2019-10-21 01:30:00,1
2019-10-21 01:33:00,1
2019-10-21 01:34:00,1
2019-10-21 01:41:00,1
2019-10-21 01:44:00,3
2019-10-21 01:45:00,1
2019-10-21 01:55:00,2
