4,"select p.objid, p.ra, p.dec, s.z as redshift from galaxy p, specobj s, dbo.fGetObjFromRect (# , #, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z BETWEEN .# AND .#"
2019-12-06 06:57:00,2
2019-12-06 06:58:00,1
2019-12-25 07:01:00,1
