22,SELECT * FROM Table_#_#_#
2019-01-03 11:24:00,1
2019-01-08 12:24:00,1
2019-01-10 06:02:00,1
2019-03-14 11:29:00,1
2019-03-14 11:30:00,1
2019-03-22 03:15:00,2
2019-03-29 14:37:00,1
2019-03-29 14:38:00,1
2019-06-14 10:41:00,1
2019-06-14 10:43:00,1
2019-07-06 07:12:00,1
2019-07-08 06:52:00,1
2019-09-02 08:02:00,1
2019-09-02 08:03:00,1
2019-09-02 08:05:00,1
2019-09-02 08:07:00,1
2019-10-06 03:19:00,1
2019-10-06 03:20:00,1
2019-10-18 08:15:00,1
2019-12-18 05:17:00,1
2019-12-18 06:48:00,1
