37,"SELECT s.objid, s.ra, s.dec, s.u, s.g, s.r, s.i, s.z FROM star s, dbo.fGetNearbyObjEq (#, #, #) n WHERE s.objid = n.objid"
2019-01-22 22:19:00,1
2019-01-23 17:01:00,1
2019-01-23 17:41:00,1
2019-01-29 18:30:00,1
2019-01-29 18:35:00,1
2019-01-29 18:40:00,1
2019-02-14 03:55:00,1
2019-03-04 15:46:00,1
2019-03-04 18:39:00,1
2019-03-04 19:04:00,1
2019-03-04 19:12:00,1
2019-03-04 19:39:00,1
2019-03-04 19:40:00,2
2019-03-04 19:46:00,1
2019-03-04 19:48:00,1
2019-03-04 19:49:00,1
2019-03-04 19:50:00,1
2019-03-04 20:02:00,1
2019-03-04 20:03:00,1
2019-03-04 20:04:00,2
2019-03-04 20:07:00,1
2019-03-04 20:08:00,2
2019-03-04 20:14:00,1
2019-03-05 04:29:00,1
2019-03-05 06:48:00,1
2019-03-06 04:55:00,1
2019-03-06 20:58:00,1
2019-03-06 21:45:00,1
2019-07-18 19:35:00,1
2019-10-30 00:00:00,1
2019-10-30 00:01:00,1
2019-10-30 00:02:00,1
2019-10-31 23:09:00,1
2019-12-31 20:26:00,1
