2,"select top # p.objid, p.ra, p.dec from photoobj p where (p.r BETWEEN # AND #) and (p.i BETWEEN # AND #) and (p.z BETWEEN # AND #) and (p.r-p.i BETWEEN # AND #) and (p.i-p.z BETWEEN # AND #) and (p.u-p.r BETWEEN # AND #) and clean = #"
2019-01-27 17:46:00,1
2019-01-27 17:48:00,1
