95,"SELECT top # p.objId, p.ra, p.dec, p.l as l, p.b as b, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z as z_spec, s.plate, s.mjd, s.fiberid FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.g < #"
2019-03-06 18:40:00,1
2019-03-06 18:44:00,6
2019-03-06 18:46:00,4
2019-03-06 18:49:00,1
2019-03-06 18:52:00,2
2019-03-06 18:54:00,3
2019-03-06 18:55:00,1
2019-03-06 18:57:00,1
2019-03-06 18:58:00,2
2019-03-06 18:59:00,1
2019-03-06 19:01:00,1
2019-03-06 19:02:00,1
2019-03-06 19:05:00,1
2019-03-06 19:06:00,1
2019-03-07 10:57:00,1
2019-03-07 11:20:00,1
2019-03-07 11:21:00,1
2019-03-07 11:22:00,1
2019-03-07 11:36:00,1
2019-03-07 11:37:00,1
2019-03-07 11:41:00,1
2019-03-07 11:43:00,2
2019-03-07 11:44:00,4
2019-03-07 11:45:00,1
2019-03-07 11:51:00,1
2019-03-07 11:52:00,4
2019-03-07 12:06:00,1
2019-03-07 12:07:00,2
2019-03-07 12:08:00,2
2019-03-07 12:14:00,2
2019-03-07 12:21:00,1
2019-03-07 12:22:00,4
2019-03-07 12:25:00,1
2019-03-07 12:26:00,2
2019-03-07 12:27:00,3
2019-03-07 12:28:00,2
2019-03-07 12:29:00,3
2019-03-07 12:30:00,3
2019-03-07 12:48:00,1
2019-03-07 13:12:00,1
2019-03-07 13:13:00,4
2019-03-07 13:14:00,2
2019-03-07 13:15:00,2
2019-03-07 13:34:00,2
2019-03-07 13:35:00,1
2019-03-07 13:40:00,3
2019-03-07 13:41:00,6
2019-03-07 13:42:00,1
2019-03-07 15:02:00,1
