1053246,"select ObjID, ra, dec, dbo.fIAUFromEq (ra, dec) FROM PhotoObj WHERE ObjID = #"
2019-05-15 18:00:00,1
2019-05-15 18:09:00,2
2019-05-15 18:38:00,1
2019-05-15 18:41:00,3
2019-05-15 18:42:00,4
2019-05-15 18:43:00,3
2019-05-15 18:47:00,7
2019-05-15 18:48:00,4
2019-05-15 18:49:00,12
2019-05-15 18:50:00,8
2019-05-15 18:52:00,14
2019-05-15 18:53:00,14
2019-05-15 18:54:00,14
2019-05-15 18:55:00,28
2019-05-15 18:57:00,2
2019-05-15 18:58:00,5
2019-05-15 18:59:00,1
2019-05-15 19:01:00,29
2019-05-15 19:03:00,2
2019-05-15 19:04:00,1
2019-05-15 20:12:00,30
2019-05-15 20:14:00,15
2019-05-15 20:15:00,31
2019-05-15 20:16:00,30
2019-05-15 20:17:00,15
2019-05-15 20:18:00,45
2019-05-15 20:19:00,15
2019-05-15 20:20:00,5
2019-05-17 23:01:00,5
2019-05-17 23:06:00,2
2019-05-17 23:07:00,4
2019-05-17 23:20:00,264
2019-05-17 23:21:00,277
2019-05-17 23:22:00,263
2019-05-17 23:23:00,261
2019-05-17 23:24:00,252
2019-05-17 23:25:00,258
2019-05-17 23:26:00,275
2019-05-17 23:27:00,283
2019-05-17 23:28:00,269
2019-05-17 23:29:00,256
2019-05-17 23:30:00,255
2019-05-17 23:31:00,257
2019-05-17 23:32:00,277
2019-05-17 23:33:00,282
2019-05-17 23:34:00,275
2019-05-17 23:35:00,263
2019-05-17 23:36:00,261
2019-05-17 23:37:00,258
2019-05-17 23:38:00,277
2019-05-17 23:39:00,281
2019-05-17 23:40:00,285
2019-05-17 23:41:00,264
2019-05-17 23:42:00,261
2019-05-17 23:43:00,263
2019-05-17 23:44:00,251
2019-05-17 23:45:00,282
2019-05-17 23:46:00,283
2019-05-17 23:47:00,270
2019-05-17 23:48:00,265
2019-05-17 23:49:00,263
2019-05-17 23:50:00,263
2019-05-17 23:51:00,286
2019-05-17 23:52:00,283
2019-05-17 23:53:00,273
2019-05-17 23:54:00,259
2019-05-17 23:55:00,257
2019-05-17 23:56:00,258
2019-05-17 23:57:00,272
2019-05-17 23:58:00,281
2019-05-17 23:59:00,275
2019-05-18 10:18:00,119
2019-05-18 10:19:00,254
2019-05-18 10:20:00,276
2019-05-18 10:21:00,286
2019-05-18 10:22:00,284
2019-05-18 10:23:00,268
2019-05-18 10:24:00,262
2019-05-18 10:25:00,263
2019-05-18 10:26:00,269
2019-05-18 10:27:00,285
2019-05-18 10:28:00,291
2019-05-18 10:29:00,266
2019-05-18 10:30:00,269
2019-05-18 10:31:00,262
2019-05-18 10:32:00,277
2019-05-18 10:33:00,285
2019-05-18 10:34:00,281
2019-05-18 10:35:00,264
2019-05-18 10:36:00,256
2019-05-18 10:37:00,263
2019-05-18 10:38:00,280
2019-05-18 10:39:00,275
2019-05-18 10:40:00,283
2019-05-18 10:41:00,262
2019-05-18 10:42:00,268
2019-05-18 10:43:00,262
2019-05-18 10:44:00,272
2019-05-18 10:45:00,279
2019-05-18 10:46:00,279
2019-05-18 10:47:00,269
2019-05-18 10:48:00,261
2019-05-18 10:49:00,257
2019-05-18 10:50:00,270
2019-05-18 10:51:00,286
2019-05-18 10:52:00,258
2019-05-18 10:53:00,274
2019-05-18 10:54:00,264
2019-05-18 10:55:00,266
2019-05-18 10:56:00,263
2019-05-18 10:57:00,288
2019-05-18 10:58:00,284
2019-05-18 10:59:00,271
2019-05-18 11:00:00,266
2019-05-18 11:01:00,264
2019-05-18 11:02:00,255
2019-05-18 11:03:00,272
2019-05-18 11:04:00,285
2019-05-18 11:05:00,276
2019-05-18 11:06:00,271
2019-05-18 11:07:00,272
2019-05-18 11:08:00,264
2019-05-18 11:09:00,276
2019-05-18 11:10:00,284
2019-05-18 11:11:00,285
2019-05-18 11:12:00,268
2019-05-18 11:13:00,269
2019-05-18 11:14:00,253
2019-05-18 11:15:00,281
2019-05-18 11:16:00,275
2019-05-18 11:17:00,263
2019-05-18 11:18:00,260
2019-05-18 11:19:00,257
2019-05-18 11:20:00,283
2019-05-18 11:21:00,286
2019-05-18 11:22:00,273
2019-05-18 11:23:00,265
2019-05-18 11:24:00,259
2019-05-18 11:25:00,253
2019-05-18 11:26:00,277
2019-05-18 11:27:00,280
2019-05-18 11:28:00,274
2019-05-18 11:29:00,260
2019-05-18 11:30:00,261
2019-05-18 11:31:00,263
2019-05-18 11:32:00,286
2019-05-18 11:33:00,286
2019-05-18 11:34:00,271
2019-05-18 11:35:00,260
2019-05-18 11:36:00,258
2019-05-18 11:37:00,262
2019-05-18 11:38:00,280
2019-05-18 11:39:00,280
2019-05-18 11:40:00,271
2019-05-18 11:41:00,262
2019-05-18 11:42:00,257
2019-05-18 11:43:00,258
2019-05-18 11:44:00,285
2019-05-18 11:45:00,281
2019-05-18 11:46:00,272
2019-05-18 11:47:00,265
2019-05-18 11:48:00,262
2019-05-18 11:49:00,262
2019-05-18 11:50:00,286
2019-05-18 11:51:00,285
2019-05-18 11:52:00,268
2019-05-18 11:53:00,270
2019-05-18 11:54:00,264
2019-05-18 11:55:00,256
2019-05-18 11:56:00,287
2019-05-18 11:57:00,265
2019-05-18 11:58:00,277
2019-05-18 11:59:00,258
2019-05-18 12:00:00,262
2019-05-18 12:01:00,270
2019-05-18 12:02:00,282
2019-05-18 12:03:00,265
2019-05-18 12:04:00,259
2019-05-18 12:05:00,253
2019-05-18 12:06:00,272
2019-05-18 12:07:00,283
2019-05-18 12:08:00,285
2019-05-18 12:09:00,260
2019-05-18 12:10:00,258
2019-05-18 12:11:00,258
2019-05-18 12:12:00,273
2019-05-18 12:13:00,286
2019-05-18 12:14:00,278
2019-05-18 12:15:00,264
2019-05-18 12:16:00,266
2019-05-18 12:17:00,256
2019-05-18 12:18:00,261
2019-05-18 12:19:00,283
2019-05-18 12:20:00,284
2019-05-18 12:21:00,279
2019-05-18 12:22:00,270
2019-05-18 12:23:00,268
2019-05-18 12:24:00,264
2019-05-18 12:25:00,269
2019-05-18 12:26:00,280
2019-05-18 12:27:00,273
2019-05-18 12:28:00,265
2019-05-18 12:29:00,269
2019-05-18 12:30:00,260
2019-05-18 12:31:00,285
2019-05-18 12:32:00,282
2019-05-18 12:33:00,291
2019-05-18 12:34:00,274
2019-05-18 12:35:00,267
2019-05-18 12:36:00,263
2019-05-18 12:37:00,274
2019-05-18 12:38:00,282
2019-05-18 12:39:00,284
2019-05-18 12:40:00,257
2019-05-18 12:41:00,261
2019-05-18 12:42:00,264
2019-05-18 12:43:00,271
2019-05-18 12:44:00,290
2019-05-18 12:45:00,284
2019-05-18 12:46:00,265
