1501,"SELECT p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObj as p WHERE p.objid = #"
2019-03-04 15:15:00,1
2019-03-04 15:28:00,1
2019-03-04 15:30:00,1
2019-03-04 15:31:00,2
2019-03-04 15:43:00,4
2019-03-04 15:44:00,9
2019-03-04 15:45:00,19
2019-03-04 15:46:00,5
2019-03-04 16:58:00,10
2019-03-04 16:59:00,19
2019-03-04 17:00:00,19
2019-03-04 17:01:00,19
2019-03-04 17:02:00,18
2019-03-04 17:03:00,16
2019-03-04 18:05:00,10
2019-03-04 18:06:00,19
2019-03-04 18:07:00,19
2019-03-04 18:08:00,19
2019-03-04 18:09:00,19
2019-03-04 18:10:00,15
2019-03-04 20:19:00,5
2019-03-04 20:20:00,18
2019-03-04 20:21:00,19
2019-03-04 20:22:00,19
2019-03-04 20:23:00,19
2019-03-04 20:24:00,18
2019-03-04 20:25:00,19
2019-03-04 20:26:00,19
2019-03-04 20:27:00,19
2019-03-04 20:28:00,19
2019-03-04 20:29:00,19
2019-03-04 20:30:00,19
2019-03-04 20:31:00,19
2019-03-04 20:32:00,19
2019-03-04 20:33:00,6
2019-03-05 07:29:00,9
2019-03-05 07:30:00,18
2019-03-05 07:31:00,19
2019-03-05 07:32:00,19
2019-03-05 07:33:00,19
2019-03-05 07:34:00,19
2019-03-05 07:35:00,19
2019-03-05 07:36:00,18
2019-03-05 07:37:00,19
2019-03-05 07:38:00,19
2019-03-05 07:39:00,19
2019-03-05 07:40:00,19
2019-03-05 07:41:00,19
2019-03-05 07:42:00,19
2019-03-05 07:43:00,19
2019-03-05 07:44:00,19
2019-03-05 07:45:00,19
2019-03-05 07:46:00,18
2019-03-05 07:47:00,19
2019-03-05 07:48:00,19
2019-03-05 07:49:00,19
2019-03-05 07:50:00,19
2019-03-05 07:51:00,19
2019-03-05 07:52:00,19
2019-03-05 07:53:00,19
2019-03-05 07:54:00,19
2019-03-05 07:55:00,19
2019-03-05 07:56:00,19
2019-03-05 07:57:00,19
2019-03-05 07:58:00,19
2019-03-05 07:59:00,19
2019-03-05 08:00:00,19
2019-03-05 08:01:00,19
2019-03-05 08:02:00,19
2019-03-05 08:03:00,19
2019-03-05 08:04:00,19
2019-03-05 08:05:00,18
2019-03-05 08:06:00,19
2019-03-05 08:07:00,19
2019-03-05 08:08:00,19
2019-03-05 08:09:00,19
2019-03-05 08:10:00,19
2019-03-05 08:11:00,19
2019-03-05 08:12:00,19
2019-03-05 08:13:00,19
2019-03-05 08:14:00,19
2019-03-05 08:15:00,19
2019-03-05 08:16:00,19
2019-03-05 08:17:00,19
2019-03-05 08:18:00,18
2019-03-05 08:19:00,19
2019-03-05 08:20:00,19
2019-03-05 08:21:00,19
2019-03-05 08:22:00,9
