22,"select top # p.objid as name, p.ra, p.dec from galaxy p where (p.u BETWEEN # AND #) and (p.g BETWEEN # AND #) and (p.r BETWEEN # AND #) and (p.i BETWEEN # AND #) and (p.z BETWEEN # AND #)"
2019-11-20 20:31:00,1
2019-11-20 20:32:00,2
2019-11-20 20:33:00,1
2019-11-20 20:34:00,1
2019-11-20 20:35:00,1
2019-11-20 20:36:00,1
2019-11-20 20:37:00,1
2019-11-20 20:38:00,1
2019-11-20 20:40:00,1
2019-11-20 20:41:00,1
2019-11-20 20:42:00,1
2019-11-20 20:43:00,1
2019-11-20 20:44:00,3
2019-11-20 20:45:00,1
2019-11-20 20:47:00,1
2019-11-20 20:48:00,2
2019-11-20 20:49:00,1
2019-11-20 20:54:00,1
