46,"select substring (Name, #, #) as Initial, Count (*) as Count from chinook.Artist group by substring (Name, #, #)"
2019-04-20 15:34:00,1
2019-04-20 15:35:00,1
2019-04-20 15:36:00,6
2019-04-20 15:37:00,6
2019-04-20 15:38:00,1
2019-04-20 15:39:00,4
2019-04-20 15:40:00,1
2019-04-20 15:41:00,3
2019-04-20 15:42:00,1
2019-04-22 00:17:00,4
2019-04-22 00:18:00,1
2019-04-22 00:20:00,1
2019-04-22 00:21:00,1
2019-04-22 00:23:00,3
2019-04-22 00:24:00,3
2019-04-22 00:25:00,4
2019-04-22 00:26:00,2
2019-04-22 00:27:00,1
2019-04-22 00:35:00,1
2019-04-24 19:07:00,1
