3,"SELECT p.objid, p.ra, p.dec, p.b, p.l, p.u, p.g, p.r, p.i, p.z, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE (p.b between # and #) AND (p.l between # and #) AND (s.z between # and #) AND (s.class = # OR s.class = #)"
2019-10-14 10:16:00,1
2019-10-14 10:18:00,1
2019-10-14 10:32:00,1
