52,select fieldid from field where medianpsfcolor_z between # and # and q_u between .# and #
2019-01-25 03:09:00,2
2019-01-25 07:54:00,3
2019-01-25 07:55:00,4
2019-01-25 07:59:00,4
2019-01-25 08:03:00,2
2019-01-25 08:08:00,1
2019-01-25 08:10:00,6
2019-01-25 08:12:00,2
2019-01-25 08:14:00,2
2019-01-25 08:15:00,1
2019-01-25 08:16:00,1
2019-01-25 08:17:00,1
2019-01-27 10:57:00,2
2019-01-27 10:58:00,1
2019-01-28 02:34:00,2
2019-01-28 02:40:00,1
2019-01-28 02:42:00,1
2019-01-28 02:44:00,1
2019-01-28 02:47:00,2
2019-01-28 03:00:00,1
2019-01-28 13:57:00,1
2019-01-28 16:11:00,1
2019-01-28 16:20:00,2
2019-01-28 16:22:00,1
2019-01-28 17:03:00,1
2019-01-28 17:57:00,1
2019-01-28 18:05:00,4
2019-01-28 22:15:00,1
