2,"SELECT top # s.objid, s.ra, s.dec, s.modelmag_r, s.z, s.modelmag_r-#*log1# (#E+#*s.z) +# as abs_mag_r, s.modelmag_g, s.modelmag_i, z.p_el, z.p_cw, z.p_acw, z.p_edge, z.p_dk, z.p_mg, z.p_cs, s.petroR5#_r, s.petroR9#_r FROM PhotoObjAll as s JOIN zooSpec as z ON s.objid = z.objid WHERE s.modelmag_r < # AND s.z BETWEEN # AND # AND s.modelmag_g > # AND s.modelmag_i > #"
2019-05-03 19:33:00,1
2019-05-03 19:35:00,1
