10,"SELECT TOP # s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid, s.instrument FROM SpecObj AS s WHERE s.instrument = BOSS"
2019-05-28 00:55:00,1
2019-05-28 01:03:00,1
2019-05-28 01:04:00,1
2019-05-28 01:05:00,1
2019-05-28 01:07:00,2
2019-05-28 01:10:00,1
2019-05-28 01:11:00,2
2019-05-28 01:12:00,1
