374,"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_g, type_g, psfMagErr_g FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-01-03 16:03:00,1
2019-01-04 15:34:00,1
2019-01-04 17:32:00,1
2019-02-01 06:48:00,1
2019-02-01 08:07:00,1
2019-02-09 16:21:00,1
2019-02-20 18:40:00,1
2019-02-20 18:50:00,1
2019-02-24 16:35:00,1
2019-02-25 22:03:00,1
2019-02-25 22:36:00,1
2019-02-26 17:51:00,1
2019-03-01 16:22:00,1
2019-03-01 16:25:00,1
2019-03-05 16:48:00,1
2019-03-05 16:58:00,1
2019-03-05 17:08:00,1
2019-03-14 16:51:00,1
2019-03-14 17:21:00,1
2019-03-14 17:30:00,1
2019-03-15 15:36:00,1
2019-03-15 15:55:00,1
2019-03-15 16:24:00,1
2019-03-16 04:29:00,1
2019-03-16 06:17:00,1
2019-03-16 06:29:00,1
2019-03-16 06:38:00,1
2019-03-16 09:36:00,1
2019-03-16 09:58:00,1
2019-03-16 16:43:00,1
2019-03-18 15:13:00,1
2019-03-18 15:36:00,1
2019-03-25 16:00:00,1
2019-03-25 16:09:00,1
2019-03-27 15:31:00,1
2019-03-30 15:39:00,1
2019-03-31 15:54:00,1
2019-03-31 16:20:00,1
2019-04-01 15:17:00,1
2019-04-02 16:20:00,1
2019-04-02 16:51:00,1
2019-04-04 14:21:00,1
2019-04-07 14:37:00,1
2019-04-07 14:58:00,1
2019-04-07 16:21:00,1
2019-04-08 15:21:00,1
2019-04-08 17:24:00,1
2019-04-18 14:29:00,1
2019-04-19 14:39:00,1
2019-04-20 14:00:00,1
2019-04-21 14:00:00,1
2019-04-23 14:43:00,1
2019-04-24 14:08:00,1
2019-04-24 14:58:00,1
2019-04-25 14:03:00,1
2019-04-28 14:06:00,1
2019-04-28 14:42:00,1
2019-04-29 13:53:00,1
2019-05-02 13:53:00,1
2019-05-02 14:12:00,1
2019-05-03 14:01:00,1
2019-05-09 15:45:00,1
2019-05-09 16:22:00,1
2019-05-13 14:57:00,1
2019-05-16 14:32:00,1
2019-05-16 22:56:00,1
2019-05-25 13:53:00,1
2019-05-25 14:05:00,1
2019-05-29 14:19:00,1
2019-05-30 14:21:00,1
2019-05-30 14:41:00,1
2019-05-30 14:57:00,1
2019-05-30 15:13:00,1
2019-05-31 14:46:00,1
2019-05-31 15:02:00,1
2019-05-31 15:12:00,1
2019-05-31 15:25:00,1
2019-05-31 15:47:00,1
2019-05-31 16:02:00,1
2019-05-31 16:21:00,1
2019-06-01 14:44:00,1
2019-06-03 14:08:00,1
2019-06-03 14:17:00,1
2019-06-06 15:47:00,1
2019-06-07 14:55:00,1
2019-06-08 14:54:00,1
2019-06-09 14:24:00,1
2019-06-09 15:00:00,1
2019-06-10 14:19:00,1
2019-06-10 14:31:00,1
2019-06-10 14:41:00,1
2019-06-10 14:52:00,1
2019-06-11 15:05:00,1
2019-06-12 14:12:00,1
2019-06-12 14:24:00,1
2019-06-13 13:58:00,1
2019-06-14 13:57:00,1
2019-06-14 15:56:00,1
2019-06-15 14:49:00,1
2019-06-15 15:08:00,1
2019-06-16 14:04:00,1
2019-06-17 14:01:00,1
2019-06-17 14:56:00,1
2019-06-18 14:27:00,1
2019-06-18 14:52:00,1
2019-06-18 15:10:00,1
2019-06-19 14:10:00,1
2019-06-20 17:07:00,1
2019-06-21 15:08:00,1
2019-06-21 15:24:00,1
2019-06-21 15:31:00,1
2019-06-23 14:01:00,1
2019-06-23 14:52:00,1
2019-06-23 15:01:00,1
2019-06-24 14:51:00,1
2019-06-24 14:58:00,1
2019-06-25 13:50:00,1
2019-06-26 14:27:00,1
2019-06-27 14:07:00,1
2019-06-28 14:28:00,1
2019-06-28 14:48:00,1
2019-06-28 15:03:00,1
2019-06-29 14:13:00,1
2019-06-29 14:50:00,1
2019-06-29 15:02:00,1
2019-06-29 15:11:00,1
2019-07-01 13:57:00,1
2019-07-01 14:06:00,1
2019-07-01 14:48:00,1
2019-07-02 14:00:00,1
2019-07-02 14:07:00,1
2019-07-02 14:20:00,1
2019-07-02 14:27:00,1
2019-07-03 14:26:00,1
2019-07-04 15:06:00,1
2019-07-04 15:33:00,1
2019-07-04 15:56:00,1
