211,"SELECT d.*, s.class, s.subclass, p.type FROM dbo.fGetNearestSpecObjAllEq (#, #, #) as d, dbo.fGetNearestObjAllEq (#, #, #) as p, SpecObjAll as s WHERE d.specObjID = s.specObjID"
2019-01-15 01:10:00,1
2019-01-15 01:13:00,4
2019-01-15 01:14:00,2
2019-01-15 01:15:00,2
2019-01-15 01:16:00,101
2019-01-15 01:17:00,101
