3486,"SELECT ALL p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.type, p.isoA_u, p.isoA_g, p.isoA_r, p.isoA_i, p.isoA_z, p.isoB_u, p.isoB_g, p.isoB_r, p.isoB_i, p.isoB_z, p.isoPhi_u, p.isoPhi_g, p.isoPhi_r, p.isoPhi_i, p.isoPhi_z FROM PhotoObj AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type = # ORDER by p.r"
2019-08-23 15:27:00,1
2019-08-23 15:45:00,2
2019-08-28 14:47:00,1
2019-08-29 03:18:00,1
2019-08-29 03:20:00,5
2019-08-29 03:22:00,3
2019-08-29 03:23:00,12
2019-08-29 03:24:00,14
2019-08-29 03:25:00,12
2019-08-29 03:26:00,7
2019-08-29 03:41:00,1
2019-08-29 03:42:00,1
2019-08-29 04:57:00,1
2019-08-29 04:58:00,3
2019-08-29 04:59:00,17
2019-08-29 05:00:00,18
2019-08-29 05:01:00,17
2019-08-29 05:02:00,15
2019-08-29 05:03:00,16
2019-08-29 05:04:00,18
2019-08-29 05:05:00,12
2019-08-29 05:06:00,17
2019-08-29 05:07:00,13
2019-08-29 05:08:00,16
2019-08-29 05:09:00,17
2019-08-29 05:10:00,16
2019-08-29 05:11:00,15
2019-08-29 05:12:00,19
2019-08-29 05:13:00,15
2019-08-29 05:14:00,17
2019-08-29 05:15:00,15
2019-08-29 05:16:00,15
2019-08-29 05:17:00,16
2019-08-29 05:18:00,16
2019-08-29 05:19:00,16
2019-08-29 05:20:00,17
2019-08-29 05:21:00,17
2019-08-29 05:22:00,17
2019-08-29 05:23:00,19
2019-08-29 05:24:00,16
2019-08-29 05:25:00,19
2019-08-29 05:26:00,14
2019-08-29 05:27:00,16
2019-08-29 05:28:00,18
2019-08-29 05:29:00,14
2019-08-29 05:30:00,16
2019-08-29 05:31:00,17
2019-08-29 05:32:00,17
2019-08-29 05:33:00,17
2019-08-29 05:34:00,17
2019-08-29 05:35:00,16
2019-08-29 05:36:00,16
2019-08-29 05:37:00,16
2019-08-29 05:38:00,17
2019-08-29 05:39:00,15
2019-08-29 05:40:00,17
2019-08-29 05:41:00,17
2019-08-29 05:42:00,16
2019-08-29 05:43:00,18
2019-08-29 05:44:00,16
2019-08-29 05:45:00,18
2019-08-29 05:46:00,18
2019-08-29 05:47:00,17
2019-08-29 05:48:00,19
2019-08-29 05:49:00,18
2019-08-29 05:50:00,15
2019-08-29 05:51:00,16
2019-08-29 05:52:00,18
2019-08-29 05:53:00,17
2019-08-29 05:54:00,15
2019-08-29 05:55:00,19
2019-08-29 05:56:00,18
2019-08-29 05:57:00,16
2019-08-29 05:58:00,17
2019-08-29 05:59:00,17
2019-08-29 06:00:00,17
2019-08-29 06:01:00,19
2019-08-29 06:02:00,18
2019-08-29 06:03:00,19
2019-08-29 06:04:00,17
2019-08-29 06:05:00,13
2019-08-29 06:06:00,18
2019-08-29 06:07:00,19
2019-08-29 06:08:00,15
2019-08-29 06:09:00,17
2019-08-29 06:10:00,18
2019-08-29 06:11:00,16
2019-08-29 06:12:00,19
2019-08-29 06:13:00,17
2019-08-29 06:14:00,19
2019-08-29 06:15:00,16
2019-08-29 06:16:00,18
2019-08-29 06:17:00,16
2019-08-29 06:18:00,14
2019-08-29 06:19:00,16
2019-08-29 06:20:00,16
2019-08-29 06:21:00,16
2019-08-29 06:22:00,17
2019-08-29 06:23:00,15
2019-08-29 06:24:00,16
2019-08-29 06:25:00,18
2019-08-29 06:26:00,18
2019-08-29 06:27:00,18
2019-08-29 06:28:00,17
2019-08-29 06:29:00,17
2019-08-29 06:30:00,19
2019-08-29 06:31:00,18
2019-08-29 06:32:00,16
2019-08-29 06:33:00,18
2019-08-29 06:34:00,19
2019-08-29 06:35:00,17
2019-08-29 06:36:00,17
2019-08-29 06:37:00,18
2019-08-29 06:38:00,18
2019-08-29 06:39:00,19
2019-08-29 06:40:00,19
2019-08-29 06:41:00,17
2019-08-29 06:42:00,17
2019-08-29 06:43:00,17
2019-08-29 06:44:00,20
2019-08-29 06:45:00,16
2019-08-29 06:46:00,18
2019-08-29 06:47:00,16
2019-08-29 06:48:00,19
2019-08-29 06:49:00,18
2019-08-29 06:50:00,17
2019-08-29 06:51:00,19
2019-08-29 06:52:00,18
2019-08-29 06:53:00,18
2019-08-29 06:54:00,15
2019-08-29 06:55:00,19
2019-08-29 06:56:00,18
2019-08-29 06:57:00,14
2019-08-29 06:58:00,19
2019-08-29 06:59:00,18
2019-08-29 07:00:00,17
2019-08-29 07:01:00,17
2019-08-29 07:02:00,19
2019-08-29 07:03:00,18
2019-08-29 07:04:00,18
2019-08-29 07:05:00,18
2019-08-29 07:06:00,10
2019-08-29 07:07:00,18
2019-08-29 07:08:00,17
2019-08-29 07:09:00,15
2019-08-29 07:10:00,18
2019-08-29 07:11:00,15
2019-08-29 07:12:00,16
2019-08-29 07:13:00,19
2019-08-29 07:14:00,17
2019-08-29 07:15:00,18
2019-08-29 07:16:00,19
2019-08-29 07:17:00,18
2019-08-29 07:18:00,18
2019-08-29 07:19:00,16
2019-08-29 07:20:00,17
2019-08-29 07:21:00,19
2019-08-29 07:22:00,18
2019-08-29 07:23:00,17
2019-08-29 07:24:00,17
2019-08-29 07:25:00,19
2019-08-29 07:26:00,18
2019-08-29 07:27:00,17
2019-08-29 07:28:00,18
2019-08-29 07:29:00,18
2019-08-29 07:30:00,17
2019-08-29 07:31:00,18
2019-08-29 07:32:00,16
2019-08-29 07:33:00,19
2019-08-29 07:34:00,17
2019-08-29 07:35:00,17
2019-08-29 07:36:00,18
2019-08-29 07:37:00,19
2019-08-29 07:38:00,19
2019-08-29 07:39:00,19
2019-08-29 07:40:00,15
2019-08-29 07:41:00,19
2019-08-29 07:42:00,18
2019-08-29 07:43:00,18
2019-08-29 07:44:00,16
2019-08-29 07:45:00,19
2019-08-29 07:46:00,19
2019-08-29 07:47:00,15
2019-08-29 07:48:00,18
2019-08-29 07:49:00,17
2019-08-29 07:50:00,19
2019-08-29 07:51:00,17
2019-08-29 07:52:00,17
2019-08-29 07:53:00,18
2019-08-29 07:54:00,16
2019-08-29 07:55:00,17
2019-08-29 07:56:00,19
2019-08-29 07:57:00,18
2019-08-29 07:58:00,18
2019-08-29 07:59:00,20
2019-08-29 08:00:00,17
2019-08-29 08:01:00,19
2019-08-29 08:02:00,17
2019-08-29 08:03:00,17
2019-08-29 08:04:00,18
2019-08-29 08:05:00,19
2019-08-29 08:06:00,19
2019-08-29 08:07:00,17
2019-08-29 08:08:00,17
2019-08-29 08:09:00,19
2019-08-29 08:10:00,18
2019-08-29 08:11:00,20
2019-08-29 08:12:00,19
2019-08-29 08:13:00,16
2019-08-29 08:14:00,19
2019-08-29 08:15:00,17
2019-08-29 08:16:00,18
2019-08-29 08:17:00,9
2019-08-30 13:29:00,1
2019-08-30 13:45:00,1
2019-08-30 13:46:00,1
2019-08-30 14:00:00,1
2019-08-30 14:01:00,2
2019-08-30 14:19:00,1
