8,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.specClass, s.z as redshift into mydb.MyTable from PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.ra BETWEEN # AND #"
2019-10-01 14:57:00,1
2019-10-01 14:58:00,1
2019-10-01 15:00:00,2
2019-10-01 15:01:00,2
2019-10-01 15:02:00,2
