3,SELECT DISTINCT p.u FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )
2019-02-14 14:15:00,1
2019-03-14 12:53:00,1
2019-06-19 19:48:00,1
