2,"SELECT @specid = m.specobjiddr8 FROM mydb.test1# as m; WHILE @cnt < # BEGIN SELECT p.objid, p.ra, p.dec, s.plate, s.mjd, s.fiberid, s.specobjid, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z INTO mydb.test FROM PhotoObj as p JOIN SpecObj as s ON s.bestobjid = p.objid WHERE s.specobjid = @specid end"
2019-05-15 09:26:00,1
2019-05-15 09:27:00,1
