45,"SELECT p.objid, p.ra, p.dec, p.g, p.r, p.err_g, p.err_r FROM star p, dbo.fgetNearByObjEq (#, #, #) n WHERE p.objid = n.objid AND p.g BETWEEN # AND #"
2019-08-12 18:27:00,1
2019-08-12 18:28:00,3
2019-08-12 18:29:00,1
2019-08-13 15:41:00,1
2019-08-13 16:07:00,1
2019-08-13 20:21:00,1
2019-08-13 20:22:00,1
2019-08-13 20:46:00,2
2019-08-14 17:56:00,2
2019-08-14 18:55:00,1
2019-08-14 18:56:00,1
2019-08-15 18:28:00,2
2019-08-16 19:05:00,5
2019-08-19 17:39:00,2
2019-08-19 19:22:00,2
2019-08-20 18:17:00,1
2019-08-20 18:19:00,1
2019-08-20 18:20:00,1
2019-08-20 18:21:00,2
2019-08-20 20:07:00,3
2019-08-20 20:08:00,2
2019-09-25 22:22:00,1
2019-09-25 22:23:00,1
2019-09-25 22:27:00,1
2019-09-25 22:31:00,1
2019-09-25 22:32:00,2
2019-09-30 17:09:00,3
