3,"SELECT p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field FROM PhotoObjall AS p WHERE p.ra between # and # and p.dec between # and #"
2019-10-06 12:44:00,1
2019-10-06 12:45:00,1
2019-10-06 12:55:00,1
