110,select top # * from [PhotoObjAll]
2019-01-03 11:32:00,1
2019-01-03 11:34:00,1
2019-01-04 11:53:00,1
2019-01-04 11:54:00,1
2019-01-04 12:14:00,1
2019-01-04 12:16:00,1
2019-01-04 12:17:00,1
2019-01-07 13:19:00,1
2019-01-07 13:40:00,1
2019-01-09 12:56:00,1
2019-01-24 11:01:00,1
2019-01-24 11:02:00,2
2019-01-24 11:10:00,1
2019-01-30 10:55:00,1
2019-02-27 11:59:00,1
2019-02-27 16:21:00,1
2019-03-13 12:03:00,2
2019-03-15 04:30:00,1
2019-03-18 12:48:00,1
2019-03-19 07:05:00,2
2019-03-19 07:07:00,1
2019-03-19 10:01:00,1
2019-03-19 10:04:00,1
2019-03-19 10:05:00,1
2019-03-20 08:57:00,1
2019-03-28 02:18:00,1
2019-03-28 02:23:00,1
2019-03-28 05:52:00,1
2019-04-01 08:49:00,1
2019-04-02 03:56:00,1
2019-04-11 09:27:00,3
2019-04-11 09:30:00,1
2019-04-25 09:01:00,1
2019-05-01 03:47:00,1
2019-05-02 11:08:00,1
2019-05-02 12:15:00,1
2019-05-02 17:45:00,1
2019-05-03 12:23:00,1
2019-05-11 10:40:00,1
2019-05-11 11:14:00,1
2019-05-11 11:18:00,1
2019-05-11 11:20:00,1
2019-05-12 12:07:00,1
2019-05-13 12:18:00,1
2019-05-13 16:04:00,2
2019-05-13 16:10:00,1
2019-05-16 16:33:00,1
2019-05-28 13:08:00,1
2019-05-30 16:58:00,1
2019-06-20 05:19:00,2
2019-06-20 05:21:00,1
2019-06-20 05:23:00,1
2019-06-20 05:26:00,1
2019-06-20 06:14:00,1
2019-06-20 06:37:00,1
2019-06-20 13:08:00,1
2019-06-25 04:46:00,1
2019-06-30 01:40:00,1
2019-07-08 03:18:00,1
2019-07-08 03:25:00,1
2019-07-08 05:03:00,1
2019-07-08 16:39:00,1
2019-07-11 15:11:00,3
2019-07-11 15:12:00,2
2019-07-22 04:43:00,1
2019-07-24 17:07:00,2
2019-07-28 11:17:00,1
2019-07-28 11:27:00,1
2019-07-28 11:30:00,1
2019-07-31 11:53:00,1
2019-07-31 12:15:00,1
2019-08-05 13:36:00,1
2019-08-18 01:59:00,1
2019-09-02 11:36:00,1
2019-09-04 13:43:00,1
2019-09-04 13:45:00,1
2019-09-04 13:53:00,1
2019-09-04 13:55:00,1
2019-09-05 03:58:00,1
2019-09-05 04:00:00,1
2019-09-08 10:12:00,1
2019-09-12 09:04:00,1
2019-09-12 09:12:00,1
2019-09-12 09:14:00,1
2019-09-12 09:21:00,1
2019-09-12 09:22:00,1
2019-09-17 10:42:00,1
2019-10-08 00:33:00,1
2019-10-08 13:24:00,1
2019-10-17 05:22:00,1
2019-10-17 05:26:00,2
2019-10-17 05:36:00,1
2019-11-04 07:38:00,1
2019-11-14 05:36:00,1
2019-12-04 12:20:00,2
2019-12-04 12:31:00,1
2019-12-12 19:02:00,1
