3,"select TOP # p.objid, p.ra, p.dec, p.nuv_mag, p.nuv_magerr, p.fuv_mag, p.fuv_magerr, nuv_weight, nuv_artifact into mydb.MyTable_# from GalexGR6.PhotoObjAll as p where (p.ra> # and p.ra< #)"
2019-11-04 17:40:00,1
2019-11-04 17:41:00,2
