3,"SELECT TOP # W.ra as wise_ra, W.dec as wise_dec FROM wise_xmatch as X join wise_allsky as W on X.wise_cntr = W.cntr join photoTag as S on X.sdss_objid = S.objid where S.nchild = #"
2019-04-14 16:00:00,2
2019-04-14 16:02:00,1
