523,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-06-09 15:49:00,1
2019-06-09 15:52:00,2
2019-06-09 17:52:00,1
2019-06-09 17:54:00,2
2019-06-09 18:36:00,1
2019-06-09 18:39:00,1
2019-06-09 18:42:00,1
2019-06-09 18:44:00,2
2019-06-09 18:50:00,69
2019-06-09 18:51:00,336
2019-06-09 18:52:00,107
