5,"SELECT S.specObjID, S.plateid, S.mjd, S.fiberid, S.z, BC.mstellar_median, BC.vdisp_median, M.mstellar_median, M.vdisp_median, ED.logMass, ED.age, WD.logMass, WD.age INTO exg_# FROM galSpecInfo as S, galSpecIndx as Sd, stellarMassPCAWiscBC0# as BC, stellarMassPCAWiscM1# as M, stellarMassFSPSGranEarlyDust as ED, stellarMassFSPSGranWideDust as WD WHERE S.z_warning = # and S.plateid> =# and S.targettype = # and S.spectrotype = # and S.specObjID = BC.specObjID and S.specObjID = M.specObjID and S.specObjID = ED.specObjID and S.specObjID = WD.specObjID and S.specObjID = Sd.specObjID"
2019-09-17 02:12:00,3
2019-09-17 02:13:00,1
2019-09-17 02:14:00,1
