2,"SELECT s.ra, s.dec, s.z, s.zErr, s.velDisp, s.velDispErr, p.ra, p.dec, p.z, p.zErr From SpecObj AS s JOIN SpecPhotoAll as p ON s.specObjID = h.specObjID"
2019-11-03 17:24:00,1
2019-11-03 17:25:00,1
