48,select fieldid from field where skyslope_r between .# and # and medianpsfcolor_r between # and #
2019-01-24 17:18:00,1
2019-01-24 21:13:00,2
2019-01-24 21:22:00,1
2019-01-24 22:48:00,1
2019-01-24 22:55:00,1
2019-01-25 00:33:00,1
2019-01-25 00:36:00,1
2019-01-25 00:41:00,1
2019-01-25 05:06:00,2
2019-01-25 06:00:00,2
2019-01-25 09:12:00,1
2019-01-25 09:18:00,1
2019-01-25 09:20:00,1
2019-01-25 09:31:00,3
2019-01-25 09:40:00,3
2019-01-25 10:18:00,1
2019-01-25 10:19:00,1
2019-01-25 11:56:00,4
2019-01-28 16:46:00,1
2019-01-28 16:47:00,1
2019-01-28 16:54:00,1
2019-01-28 17:15:00,1
2019-01-28 18:18:00,1
2019-01-28 18:39:00,1
2019-01-28 19:11:00,1
2019-01-28 23:07:00,1
2019-01-28 23:08:00,1
2019-01-28 23:45:00,1
2019-02-26 10:51:00,1
2019-02-26 11:08:00,3
2019-02-26 13:02:00,1
2019-02-26 13:09:00,3
2019-02-26 13:24:00,2
