174,"SELECT TOP # u, g, r, i, z, ra, dec, flags_r FROM Galaxy WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r"
2019-01-01 11:09:00,1
2019-01-02 00:19:00,1
2019-01-02 00:48:00,1
2019-01-06 12:41:00,1
2019-01-07 00:10:00,1
2019-01-07 23:32:00,1
2019-01-08 03:29:00,1
2019-01-08 06:27:00,1
2019-01-08 07:28:00,1
2019-01-08 08:42:00,1
2019-01-11 04:43:00,1
2019-01-12 03:15:00,1
2019-01-13 08:31:00,1
2019-01-13 09:10:00,1
2019-01-22 08:27:00,1
2019-01-23 22:44:00,1
2019-01-23 23:27:00,1
2019-01-25 15:58:00,1
2019-01-30 09:30:00,1
2019-02-04 13:40:00,1
2019-02-04 14:12:00,1
2019-02-04 14:42:00,1
2019-02-08 01:32:00,1
2019-02-08 18:12:00,1
2019-02-08 22:18:00,1
2019-02-09 17:34:00,1
2019-02-10 05:53:00,1
2019-02-10 09:43:00,1
2019-02-11 11:14:00,1
2019-02-14 12:11:00,1
2019-02-14 18:51:00,1
2019-02-18 03:06:00,1
2019-02-24 11:53:00,1
2019-02-27 19:50:00,1
2019-02-27 22:29:00,1
2019-02-28 03:34:00,1
2019-03-01 12:58:00,1
2019-03-01 22:33:00,1
2019-03-02 02:09:00,1
2019-03-02 22:39:00,1
2019-03-05 07:33:00,1
2019-03-05 08:54:00,1
2019-03-10 18:12:00,1
2019-03-26 19:55:00,1
2019-03-26 20:29:00,1
2019-03-26 20:57:00,1
2019-03-28 16:15:00,1
2019-03-28 19:58:00,1
2019-04-01 06:24:00,1
2019-04-01 18:25:00,1
2019-04-01 22:18:00,1
2019-04-08 15:36:00,1
2019-04-08 18:49:00,1
2019-04-09 12:27:00,1
2019-04-09 21:16:00,1
2019-04-09 21:21:00,1
2019-04-09 21:23:00,1
2019-04-10 00:37:00,1
2019-04-16 18:44:00,1
2019-04-18 05:48:00,1
2019-04-18 21:56:00,1
2019-04-19 01:40:00,1
2019-04-19 10:02:00,1
2019-04-19 19:07:00,1
2019-05-01 15:00:00,1
2019-05-02 11:15:00,1
2019-05-03 04:43:00,1
2019-05-03 14:47:00,1
2019-05-03 17:27:00,1
2019-05-10 16:24:00,1
2019-05-15 23:58:00,1
2019-05-16 00:42:00,1
2019-05-18 20:35:00,1
2019-05-18 21:23:00,1
2019-05-18 22:01:00,1
2019-05-23 10:00:00,1
2019-05-23 13:34:00,1
2019-05-24 02:15:00,1
2019-05-24 08:56:00,1
2019-05-24 13:31:00,1
2019-06-10 21:05:00,1
2019-06-10 21:22:00,1
2019-06-15 09:27:00,1
2019-06-17 09:52:00,1
2019-06-18 11:50:00,1
2019-06-18 13:13:00,1
2019-06-18 14:46:00,1
2019-06-20 00:11:00,1
2019-06-20 03:54:00,1
2019-06-21 00:52:00,1
2019-06-24 00:07:00,1
2019-06-25 12:33:00,1
2019-06-29 05:35:00,1
2019-07-01 21:26:00,1
2019-07-02 01:31:00,1
2019-07-02 15:17:00,1
2019-07-02 19:44:00,1
2019-07-03 14:23:00,1
2019-07-12 19:14:00,1
2019-07-14 08:17:00,1
2019-07-20 00:22:00,1
2019-07-20 05:30:00,1
2019-07-21 06:54:00,1
2019-07-22 05:30:00,1
2019-07-24 02:10:00,1
2019-07-24 08:13:00,1
2019-07-25 05:12:00,1
2019-07-25 23:06:00,1
2019-08-06 02:37:00,1
2019-08-10 13:22:00,1
2019-08-14 22:47:00,1
2019-08-15 03:52:00,1
2019-08-16 07:06:00,1
2019-08-16 23:40:00,1
2019-08-17 09:14:00,1
2019-08-20 23:05:00,1
2019-08-21 04:45:00,1
2019-08-22 07:40:00,1
2019-08-23 01:42:00,1
2019-08-23 08:00:00,1
2019-08-30 11:13:00,1
2019-08-31 08:41:00,1
2019-09-05 22:34:00,1
2019-09-06 21:58:00,1
2019-09-07 10:36:00,1
2019-09-13 00:34:00,1
2019-09-13 05:09:00,1
2019-09-14 17:55:00,1
2019-09-14 23:59:00,1
2019-09-15 07:00:00,1
2019-09-15 08:03:00,1
2019-09-27 23:58:00,1
2019-09-28 04:49:00,1
2019-09-30 01:47:00,1
2019-09-30 07:53:00,1
2019-10-19 09:56:00,1
2019-10-19 17:36:00,1
2019-10-21 00:22:00,1
2019-10-22 03:53:00,1
2019-10-22 10:07:00,1
2019-10-22 20:26:00,1
2019-10-22 21:01:00,1
2019-10-22 21:12:00,1
2019-10-22 21:33:00,1
2019-10-23 14:54:00,1
2019-10-24 09:47:00,1
2019-10-24 16:34:00,1
2019-10-24 21:28:00,1
2019-10-24 21:38:00,1
2019-10-25 00:13:00,1
2019-10-25 00:36:00,1
2019-10-25 00:45:00,1
2019-10-26 18:03:00,1
2019-10-26 19:35:00,1
2019-10-27 10:09:00,1
2019-10-30 20:53:00,1
2019-10-30 23:45:00,1
2019-11-01 05:29:00,1
2019-11-02 01:07:00,1
2019-11-02 07:07:00,1
2019-11-20 04:47:00,1
2019-11-20 12:33:00,1
2019-11-21 20:09:00,1
2019-11-22 18:41:00,1
2019-11-23 00:32:00,1
2019-12-03 01:09:00,1
2019-12-03 08:28:00,1
2019-12-04 11:15:00,1
2019-12-05 11:12:00,1
2019-12-05 19:12:00,1
2019-12-18 01:02:00,1
2019-12-18 01:30:00,1
2019-12-29 06:54:00,1
2019-12-31 00:04:00,1
