1133,select top # * from [MyTable_#]
2019-01-03 09:57:00,1
2019-01-03 15:26:00,1
2019-01-03 15:27:00,2
2019-01-03 16:34:00,1
2019-01-04 16:32:00,1
2019-01-10 07:09:00,1
2019-01-10 07:12:00,1
2019-01-11 17:08:00,1
2019-01-14 09:15:00,1
2019-01-14 09:16:00,1
2019-01-15 06:38:00,1
2019-01-15 06:40:00,1
2019-01-15 06:42:00,1
2019-01-15 06:45:00,1
2019-01-15 06:46:00,1
2019-01-15 06:58:00,1
2019-01-15 06:59:00,1
2019-01-15 12:21:00,1
2019-01-15 12:23:00,1
2019-01-15 12:35:00,1
2019-01-15 18:47:00,1
2019-01-15 18:51:00,1
2019-01-15 18:52:00,1
2019-01-19 09:05:00,1
2019-01-19 19:07:00,1
2019-01-21 07:48:00,2
2019-01-23 15:23:00,1
2019-01-23 15:25:00,1
2019-01-23 15:50:00,1
2019-01-23 15:51:00,1
2019-01-23 15:52:00,1
2019-01-28 16:28:00,1
2019-01-29 02:51:00,1
2019-02-04 11:07:00,1
2019-02-04 11:14:00,1
2019-02-04 11:35:00,1
2019-02-04 11:56:00,1
2019-02-04 12:00:00,1
2019-02-04 12:04:00,1
2019-02-04 12:05:00,1
2019-02-04 12:34:00,1
2019-02-04 12:53:00,1
2019-02-05 04:14:00,1
2019-02-05 04:15:00,1
2019-02-05 05:53:00,2
2019-02-05 07:58:00,1
2019-02-05 09:41:00,1
2019-02-05 10:26:00,1
2019-02-05 10:29:00,1
2019-02-05 10:32:00,1
2019-02-05 11:16:00,1
2019-02-05 11:22:00,1
2019-02-06 12:28:00,1
2019-02-08 11:36:00,1
2019-02-10 18:18:00,1
2019-02-10 18:22:00,1
2019-02-10 18:55:00,1
2019-02-10 18:59:00,1
2019-02-11 06:24:00,1
2019-02-13 13:11:00,1
2019-02-15 10:51:00,1
2019-02-16 09:09:00,2
2019-02-20 06:25:00,1
2019-02-21 09:06:00,1
2019-02-21 09:07:00,1
2019-02-21 11:10:00,1
2019-02-21 11:12:00,1
2019-02-21 11:14:00,1
2019-02-21 11:46:00,1
2019-02-21 12:03:00,1
2019-02-21 12:06:00,1
2019-02-21 13:32:00,1
2019-02-21 13:33:00,1
2019-02-22 05:00:00,1
2019-02-22 11:46:00,1
2019-02-22 11:47:00,3
2019-02-23 08:26:00,1
2019-02-24 00:26:00,1
2019-02-24 00:27:00,2
2019-02-24 00:29:00,1
2019-02-24 00:30:00,1
2019-02-24 00:45:00,1
2019-02-24 00:48:00,2
2019-02-24 18:39:00,1
2019-02-24 19:15:00,1
2019-02-24 19:16:00,1
2019-02-24 19:17:00,1
2019-02-24 19:19:00,1
2019-02-24 19:20:00,1
2019-02-24 19:27:00,1
2019-02-24 19:37:00,1
2019-02-24 19:38:00,3
2019-02-24 19:46:00,1
2019-02-25 05:48:00,1
2019-02-25 09:33:00,1
2019-02-25 11:17:00,1
2019-02-25 12:34:00,1
2019-02-25 12:43:00,4
2019-02-25 12:49:00,1
2019-02-25 12:50:00,2
2019-02-25 12:51:00,1
2019-02-25 12:55:00,2
2019-02-25 12:59:00,1
2019-02-25 13:27:00,1
2019-02-25 21:48:00,1
2019-02-26 05:39:00,1
2019-02-26 09:20:00,1
2019-02-26 12:21:00,1
2019-02-27 07:55:00,1
2019-02-27 09:11:00,1
2019-02-28 02:34:00,1
2019-02-28 02:58:00,1
2019-02-28 09:50:00,1
2019-03-01 13:01:00,2
2019-03-01 17:20:00,1
2019-03-03 07:08:00,1
2019-03-03 09:39:00,1
2019-03-03 11:24:00,1
2019-03-03 11:27:00,1
2019-03-03 12:33:00,1
2019-03-03 12:36:00,1
2019-03-04 01:55:00,1
2019-03-04 09:02:00,1
2019-03-04 09:06:00,1
2019-03-04 09:14:00,1
2019-03-04 09:25:00,1
2019-03-04 09:33:00,1
2019-03-04 10:34:00,1
2019-03-04 10:53:00,1
2019-03-04 11:45:00,1
2019-03-04 11:46:00,5
2019-03-05 11:42:00,1
2019-03-05 14:23:00,1
2019-03-05 14:26:00,1
2019-03-05 14:50:00,1
2019-03-05 14:56:00,1
2019-03-06 05:25:00,1
2019-03-06 06:23:00,1
2019-03-06 06:27:00,1
2019-03-06 08:25:00,3
2019-03-06 09:00:00,1
2019-03-06 09:04:00,2
2019-03-06 10:11:00,1
2019-03-06 12:27:00,1
2019-03-06 12:30:00,1
2019-03-06 12:37:00,1
2019-03-06 15:56:00,2
2019-03-08 04:54:00,1
2019-03-11 13:28:00,1
2019-03-12 05:03:00,1
2019-03-12 05:06:00,1
2019-03-12 05:07:00,1
2019-03-12 05:17:00,1
2019-03-12 05:24:00,1
2019-03-12 05:31:00,1
2019-03-12 05:33:00,1
2019-03-12 05:35:00,1
2019-03-12 05:39:00,1
2019-03-12 05:40:00,1
2019-03-12 05:46:00,1
2019-03-12 05:48:00,1
2019-03-12 06:28:00,1
2019-03-12 06:41:00,1
2019-03-12 06:42:00,2
2019-03-12 06:43:00,2
2019-03-12 07:46:00,1
2019-03-12 07:47:00,1
2019-03-13 00:25:00,1
2019-03-13 02:54:00,1
2019-03-13 02:55:00,2
2019-03-13 02:56:00,1
2019-03-13 02:58:00,1
2019-03-13 03:00:00,1
2019-03-14 01:39:00,1
2019-03-14 07:44:00,1
2019-03-15 08:20:00,1
2019-03-17 07:12:00,1
2019-03-17 09:22:00,1
2019-03-17 12:16:00,3
2019-03-18 05:33:00,1
2019-03-19 05:22:00,1
2019-03-19 05:23:00,2
2019-03-19 05:24:00,1
2019-03-19 10:25:00,1
2019-03-19 11:05:00,1
2019-03-19 11:08:00,1
2019-03-19 11:32:00,1
2019-03-20 06:44:00,2
2019-03-20 08:53:00,1
2019-03-20 12:56:00,1
2019-03-20 17:53:00,1
2019-03-22 14:04:00,1
2019-03-22 17:09:00,1
2019-03-22 17:10:00,1
2019-03-22 17:47:00,1
2019-03-24 15:32:00,1
2019-03-25 11:29:00,1
2019-03-25 12:05:00,1
2019-03-25 12:07:00,1
2019-03-25 12:09:00,1
2019-03-25 12:17:00,1
2019-03-25 12:20:00,1
2019-03-25 12:52:00,1
2019-03-25 12:55:00,1
2019-03-25 13:00:00,1
2019-03-25 17:25:00,1
2019-03-26 06:39:00,1
2019-03-26 06:43:00,2
2019-03-26 06:47:00,1
2019-03-26 08:56:00,1
2019-03-26 08:59:00,1
2019-03-26 17:34:00,1
2019-03-26 17:35:00,1
2019-03-26 17:36:00,1
2019-03-26 17:57:00,2
2019-03-26 17:58:00,1
2019-03-26 17:59:00,1
2019-03-26 18:00:00,1
2019-03-26 18:19:00,1
2019-03-26 18:22:00,1
2019-03-27 07:15:00,1
2019-03-27 07:17:00,1
2019-03-27 07:19:00,1
2019-03-27 07:23:00,2
2019-03-27 07:24:00,1
2019-03-27 07:26:00,1
2019-03-27 07:30:00,1
2019-03-27 07:31:00,1
2019-03-27 07:33:00,1
2019-03-27 07:35:00,1
2019-03-27 07:50:00,1
2019-03-27 07:58:00,1
2019-03-29 06:33:00,1
2019-03-29 11:11:00,1
2019-03-29 12:03:00,1
2019-03-29 12:17:00,1
2019-03-29 12:22:00,1
2019-03-29 12:23:00,1
2019-03-29 12:26:00,1
2019-03-29 12:32:00,1
2019-03-29 12:35:00,2
2019-03-29 14:15:00,1
