4,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s WHERE s.zWarning = # AND (s.primTarget & (dbo.fPrimTarget (#) ) > #)"
2019-03-23 23:14:00,3
2019-03-23 23:15:00,1
