14,"SELECT p.objID, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM photoObj p JOIN dbo.fGetNearbyObjEq (#, #, #) n ON n.objID = p.objID WHERE p.type = # and p.r BETWEEN # and # and p.g-p.r BETWEEN # and #"
2019-02-02 09:31:00,1
2019-05-30 09:21:00,1
2019-06-21 19:11:00,1
2019-07-10 10:55:00,1
2019-07-10 10:56:00,1
2019-07-12 19:38:00,1
2019-07-14 22:22:00,1
2019-07-25 06:56:00,2
2019-08-19 06:35:00,1
2019-09-24 18:44:00,1
2019-11-14 17:29:00,1
2019-11-28 08:48:00,1
2019-12-01 13:40:00,1
