93,select objid from star where star.dec between # and .# and star.ra between # and #
2019-02-28 07:54:00,1
2019-02-28 07:59:00,1
2019-02-28 08:04:00,1
2019-02-28 08:16:00,1
2019-02-28 08:18:00,1
2019-02-28 08:21:00,1
2019-02-28 09:03:00,1
2019-02-28 09:08:00,1
2019-02-28 09:37:00,1
2019-02-28 09:46:00,1
2019-02-28 10:10:00,1
2019-02-28 10:28:00,1
2019-02-28 10:56:00,1
2019-02-28 11:34:00,1
2019-02-28 11:35:00,1
2019-02-28 11:37:00,1
2019-02-28 11:38:00,1
2019-02-28 11:40:00,1
2019-02-28 11:45:00,1
2019-02-28 11:48:00,1
2019-03-14 13:16:00,4
2019-03-14 13:34:00,2
2019-03-14 13:35:00,6
2019-03-14 13:36:00,17
2019-03-14 13:37:00,21
2019-03-14 13:38:00,13
2019-03-14 13:39:00,10
