789,"SELECT specobjid, dr7objid FROM SpecDR7 WHERE specobjid IN ()"
2019-06-12 20:28:00,1
2019-06-12 22:03:00,10
2019-06-12 22:48:00,1
2019-06-12 22:50:00,9
2019-06-12 22:51:00,1
2019-06-12 22:52:00,23
2019-06-12 22:53:00,34
2019-06-12 23:01:00,16
2019-06-12 23:02:00,169
2019-06-12 23:03:00,191
2019-06-12 23:04:00,131
2019-06-20 19:31:00,3
2019-06-20 19:32:00,8
2019-06-20 20:01:00,72
2019-06-20 20:17:00,120
