33,SELECT count (#)
2019-01-06 04:49:00,2
2019-01-06 04:50:00,1
2019-01-06 04:59:00,1
2019-01-06 05:00:00,1
2019-01-06 05:07:00,2
2019-01-06 05:14:00,3
2019-01-12 06:25:00,1
2019-01-12 06:29:00,1
2019-01-12 06:30:00,3
2019-01-12 06:32:00,1
2019-01-12 06:34:00,2
2019-01-12 06:35:00,2
2019-01-12 06:39:00,2
2019-01-12 06:47:00,1
2019-01-30 06:55:00,1
2019-01-30 06:56:00,1
2019-03-11 00:40:00,1
2019-06-30 08:03:00,1
2019-06-30 08:05:00,1
2019-08-04 17:57:00,1
2019-09-04 14:58:00,1
2019-11-30 03:14:00,1
2019-11-30 03:15:00,1
2019-11-30 03:30:00,1
