2,"SELECT TOP # objID, ra, dec, cModelMag_g, z into mydb.MyTable from Galaxy WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND z BETWEEN # AND #"
2019-06-03 04:49:00,1
2019-06-03 04:50:00,1
