4,"SELECT p.objid, p.ra, p.dec, s.specobjid, s.z as Redshift, (# * (s.z/#) ) as Distance, (.#* (p.g - p.r) +.#) as Color, ( (p.g+.#* (p.g-p.r) +.#) - (#*log (# *s.z/#) #) ) as Magnitude FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = # AND (#*POWER (#, #) * (s.z/#) )< # AND (#*POWER (#, #) * (s.z/#) )> # AND (.#* (p.g - p.r) +.#) < # AND ( (p.g+.#* (p.g-p.r) +.#) - (#*log (#) #) ) < #"
2019-01-24 16:05:00,1
2019-01-24 16:06:00,2
2019-01-24 16:16:00,1
