344,"select * from DataConstants order by field, value"
2019-01-03 16:40:00,2
2019-01-04 09:02:00,1
2019-01-10 15:24:00,1
2019-01-10 18:09:00,1
2019-01-15 21:13:00,1
2019-01-16 15:41:00,1
2019-01-17 00:30:00,1
2019-01-17 16:17:00,3
2019-01-17 18:38:00,1
2019-01-17 19:40:00,1
2019-01-17 19:57:00,1
2019-01-18 05:54:00,1
2019-01-20 21:00:00,1
2019-01-22 02:07:00,1
2019-01-22 10:58:00,1
2019-01-23 00:09:00,1
2019-01-24 18:19:00,1
2019-01-29 04:07:00,1
2019-01-31 01:45:00,1
2019-01-31 04:19:00,1
2019-01-31 18:01:00,1
2019-01-31 18:03:00,2
2019-01-31 18:04:00,1
2019-02-01 19:50:00,1
2019-02-05 10:42:00,1
2019-02-06 09:41:00,1
2019-02-06 22:46:00,1
2019-02-07 03:14:00,1
2019-02-07 05:05:00,1
2019-02-08 12:07:00,1
2019-02-08 12:08:00,1
2019-02-08 21:42:00,1
2019-02-13 11:34:00,1
2019-02-13 13:23:00,1
2019-02-17 00:00:00,1
2019-02-17 00:21:00,1
2019-02-18 10:28:00,1
2019-02-19 20:02:00,1
2019-02-21 17:33:00,1
2019-02-25 10:24:00,1
2019-02-26 13:44:00,1
2019-02-27 13:05:00,1
2019-02-27 13:42:00,1
2019-02-27 20:14:00,1
2019-02-27 22:39:00,1
2019-03-01 01:30:00,1
2019-03-01 04:28:00,1
2019-03-01 10:52:00,1
2019-03-01 17:11:00,1
2019-03-01 17:13:00,1
2019-03-01 20:48:00,1
2019-03-06 09:27:00,1
2019-03-06 13:46:00,1
2019-03-07 12:52:00,1
2019-03-07 12:53:00,1
2019-03-07 13:23:00,1
2019-03-08 13:01:00,1
2019-03-11 02:57:00,1
2019-03-16 18:23:00,1
2019-03-23 14:56:00,2
2019-03-24 09:00:00,1
2019-03-24 14:58:00,2
2019-03-24 23:11:00,2
2019-03-26 21:44:00,1
2019-03-26 21:56:00,1
2019-03-26 21:57:00,1
2019-03-27 14:00:00,2
2019-03-27 20:11:00,3
2019-03-29 03:25:00,1
2019-04-01 15:11:00,1
2019-04-02 10:23:00,1
2019-04-03 02:33:00,1
2019-04-03 22:40:00,1
2019-04-04 20:07:00,1
2019-04-04 22:20:00,1
2019-04-05 00:18:00,1
2019-04-05 00:39:00,1
2019-04-05 16:05:00,1
2019-04-06 04:03:00,1
2019-04-06 05:37:00,1
2019-04-06 09:23:00,1
2019-04-06 10:39:00,1
2019-04-06 12:55:00,1
2019-04-06 21:36:00,1
2019-04-07 01:04:00,1
2019-04-09 08:10:00,1
2019-04-10 15:09:00,1
2019-04-14 21:57:00,1
2019-04-15 05:55:00,1
2019-04-17 01:47:00,1
2019-04-17 02:32:00,1
2019-04-17 12:31:00,1
2019-04-20 05:06:00,1
2019-04-20 08:56:00,1
2019-04-22 15:40:00,1
2019-04-24 02:13:00,1
2019-04-25 14:15:00,1
2019-04-25 14:16:00,1
2019-04-25 20:05:00,1
2019-04-27 15:08:00,1
2019-04-28 22:16:00,1
2019-04-30 21:55:00,1
2019-05-09 11:56:00,1
2019-05-11 03:55:00,1
2019-05-12 00:33:00,1
2019-05-15 11:24:00,1
2019-05-15 19:11:00,1
2019-05-16 23:28:00,1
2019-05-17 20:29:00,1
2019-05-21 14:32:00,1
2019-05-24 14:06:00,1
