2,"SELECT ALL s.SpecObjID, s.z, L.sigma, L.height, s.mag_#, dbo.fCosmoDI (s.z) FROM SpecObjAll as s JOIN SpecLine as L ON s.SpecObjID = L.specObjID WHERE s.specClass = # AND L.LineID = # AND L.ew > # AND L.height > # AND (s.z - #) < #"
2019-10-16 08:34:00,1
2019-10-16 08:36:00,1
