19,"SELECT TOP # s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class FROM ..SpecObj as s WHERE s.zWarning = # AND (s.class = #)"
2019-02-01 16:57:00,1
2019-06-21 00:17:00,1
2019-06-23 04:00:00,1
2019-06-23 04:01:00,1
2019-06-23 04:02:00,1
2019-06-23 04:03:00,1
2019-06-23 16:07:00,1
2019-06-28 03:33:00,1
2019-06-29 03:12:00,1
2019-06-29 03:44:00,1
2019-06-30 15:31:00,1
2019-08-07 17:20:00,1
2019-08-08 07:04:00,1
2019-10-07 02:41:00,1
2019-10-07 02:46:00,1
2019-12-03 01:03:00,1
2019-12-14 01:21:00,1
2019-12-14 01:22:00,2
