4,"SELECT spec.bestobjid, spec.ra, spec.dec, spec.z, spec.zErr, spec.class, spec.subclass, emlines.specObjID, emlines.ra, emlines.dec, emlines.z, emlines.zErr, emlines.Flux_NII_#, emlines.Flux_NII_#_Err, emlines.EW_NII_#, emlines.EW_NII_#_Err, emlines.Flux_Ha_#, emlines.Flux_Ha_#_Err, emlines.EW_Ha_#, emlines.EW_Ha_#_Err, emlines.Flux_Hb_#, emlines.Flux_Hb_#_Err, emlines.EW_Hb_#, emlines.EW_Hb_#_Err, emlines.Flux_OIII_#, emlines.Flux_OIII_#_Err, emlines.EW_OIII_#, emlines.EW_OIII_#_Err INTO MyDB.DR1#_S8#_Spec_lines FROM SpecObj as spec, emissionLinesPort as emlines WHERE spec.specObjID = emlines.specObjID AND (spec.zWarning = # OR spec.zWarning = #) AND spec.ra BETWEEN # and # AND spec.dec BETWEEN # and # OR spec.specObjID = emlines.specObjID AND (spec.zWarning = # OR spec.zWarning = #) AND spec.ra BETWEEN # and # AND spec.dec BETWEEN # and #"
2019-10-11 16:29:00,3
2019-10-21 13:31:00,1
