4,"select F.run, F.rerun, F.camcol, F.field, N.distance from dbo.fGetNearbyFrameEq (#, #, #, #) N join field F on F.fieldID = N.fieldID order by N.distance"
2019-07-24 12:48:00,1
2019-07-24 12:52:00,2
2019-07-24 12:53:00,1
