321,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID"
2019-01-01 02:01:00,1
2019-01-01 10:50:00,1
2019-01-01 21:15:00,1
2019-01-02 02:33:00,1
2019-01-04 21:36:00,1
2019-01-05 09:32:00,1
2019-01-05 09:54:00,1
2019-01-07 23:36:00,1
2019-01-08 03:33:00,1
2019-01-08 05:02:00,1
2019-01-08 07:25:00,1
2019-01-10 03:00:00,1
2019-01-10 10:22:00,1
2019-01-10 11:27:00,1
2019-01-11 17:11:00,1
2019-01-12 02:53:00,1
2019-01-13 10:36:00,1
2019-01-17 06:38:00,1
2019-01-19 12:27:00,1
2019-01-23 13:55:00,1
2019-01-23 20:25:00,1
2019-01-24 14:29:00,1
2019-01-27 23:39:00,1
2019-01-28 04:55:00,1
2019-01-29 05:28:00,1
2019-01-31 01:12:00,1
2019-01-31 04:20:00,1
2019-02-05 01:21:00,1
2019-02-05 20:06:00,1
2019-02-06 17:04:00,1
2019-02-08 02:37:00,1
2019-02-08 16:37:00,1
2019-02-10 05:59:00,1
2019-02-12 20:22:00,1
2019-02-13 15:13:00,1
2019-02-14 09:46:00,1
2019-02-14 11:53:00,1
2019-02-17 15:51:00,1
2019-02-17 22:15:00,1
2019-02-18 07:18:00,1
2019-02-21 17:39:00,1
2019-02-21 21:29:00,1
2019-02-22 20:47:00,1
2019-02-26 03:37:00,1
2019-02-27 14:19:00,1
2019-02-28 04:27:00,1
2019-02-28 04:29:00,1
2019-02-28 09:22:00,1
2019-02-28 18:47:00,1
2019-02-28 19:34:00,1
2019-03-01 04:25:00,1
2019-03-01 19:52:00,1
2019-03-01 22:26:00,1
2019-03-03 04:03:00,1
2019-03-03 13:16:00,1
2019-03-07 14:51:00,1
2019-03-08 22:58:00,1
2019-03-08 23:04:00,1
2019-03-09 02:01:00,1
2019-03-09 12:58:00,1
2019-03-10 04:28:00,1
2019-03-10 07:21:00,1
2019-03-11 17:32:00,1
2019-03-12 20:19:00,1
2019-03-14 16:29:00,1
2019-03-15 00:38:00,1
2019-03-15 07:40:00,1
2019-03-16 04:52:00,1
2019-03-17 01:56:00,1
2019-03-20 13:02:00,1
2019-03-20 18:48:00,1
2019-03-25 03:05:00,1
2019-03-26 11:55:00,1
2019-03-28 12:04:00,1
2019-03-29 13:00:00,1
2019-03-29 18:01:00,1
2019-03-31 22:30:00,1
2019-03-31 23:32:00,1
2019-04-01 18:28:00,1
2019-04-04 01:35:00,1
2019-04-05 09:02:00,1
2019-04-06 06:30:00,1
2019-04-06 07:17:00,1
2019-04-07 02:52:00,1
2019-04-07 19:59:00,1
2019-04-08 07:14:00,1
2019-04-09 09:30:00,1
2019-04-09 21:24:00,1
2019-04-10 13:36:00,1
2019-04-12 02:38:00,1
2019-04-14 13:54:00,1
2019-04-18 10:48:00,1
2019-04-18 11:13:00,1
2019-04-18 21:59:00,1
2019-04-20 20:06:00,1
2019-04-22 19:04:00,1
2019-04-22 20:31:00,1
2019-04-23 00:17:00,1
2019-04-23 00:40:00,1
2019-04-23 08:03:00,1
2019-04-24 08:43:00,1
2019-04-27 09:31:00,1
2019-04-28 02:31:00,1
2019-04-28 04:14:00,1
2019-04-28 04:19:00,1
2019-04-30 12:17:00,1
2019-05-02 23:58:00,1
2019-05-03 14:50:00,1
2019-05-09 14:50:00,1
2019-05-09 14:52:00,1
2019-05-09 14:53:00,2
2019-05-09 15:06:00,1
2019-05-09 15:07:00,1
2019-05-12 08:12:00,1
2019-05-13 09:36:00,1
2019-05-13 12:21:00,1
2019-05-16 05:58:00,1
2019-05-17 05:36:00,1
2019-05-17 05:39:00,1
2019-05-21 07:33:00,1
2019-05-21 11:19:00,1
2019-05-21 20:21:00,1
2019-05-23 12:56:00,1
2019-05-24 01:03:00,1
2019-05-24 08:59:00,1
2019-05-25 00:16:00,1
2019-05-25 00:49:00,1
2019-05-25 08:07:00,1
2019-05-25 12:54:00,1
2019-05-29 16:56:00,1
2019-05-30 08:29:00,1
2019-05-31 02:01:00,1
2019-06-01 19:37:00,1
2019-06-02 22:20:00,1
2019-06-03 13:08:00,1
2019-06-04 07:19:00,1
2019-06-05 21:53:00,1
2019-06-14 21:33:00,1
2019-06-15 00:50:00,1
2019-06-18 02:36:00,1
2019-06-22 07:54:00,1
2019-06-23 05:45:00,1
2019-06-23 07:20:00,1
2019-06-25 14:56:00,1
2019-06-27 03:48:00,1
2019-06-27 17:06:00,1
2019-06-28 18:25:00,1
2019-07-02 05:32:00,2
2019-07-02 19:39:00,1
2019-07-02 23:54:00,1
2019-07-03 10:46:00,1
2019-07-04 13:51:00,1
2019-07-06 02:29:00,1
2019-07-07 03:01:00,1
2019-07-07 03:09:00,1
2019-07-14 02:46:00,1
2019-07-14 13:53:00,1
2019-07-14 17:38:00,1
2019-07-17 22:20:00,1
2019-07-18 03:46:00,1
2019-07-20 05:43:00,1
2019-07-20 18:58:00,1
2019-07-21 03:39:00,1
2019-07-22 05:37:00,1
2019-07-23 16:14:00,1
2019-07-24 15:44:00,1
2019-07-25 23:12:00,1
2019-07-29 00:22:00,1
2019-07-30 17:40:00,1
2019-08-02 04:56:00,2
2019-08-03 12:50:00,1
2019-08-05 13:28:00,1
2019-08-07 05:27:00,1
2019-08-08 23:54:00,1
2019-08-11 01:34:00,1
2019-08-12 04:11:00,1
2019-08-12 09:37:00,1
2019-08-12 19:33:00,1
2019-08-13 00:23:00,1
2019-08-13 03:46:00,1
2019-08-15 07:23:00,1
2019-08-16 11:52:00,1
2019-08-16 23:59:00,1
2019-08-22 08:18:00,1
2019-08-23 01:47:00,1
2019-08-23 04:21:00,1
2019-08-25 05:10:00,1
2019-08-28 00:57:00,1
2019-08-28 08:36:00,1
2019-08-30 17:57:00,1
2019-08-31 02:36:00,1
2019-09-01 00:06:00,1
2019-09-01 00:48:00,1
2019-09-01 09:19:00,1
2019-09-01 10:42:00,1
2019-09-01 11:55:00,1
2019-09-02 05:55:00,1
2019-09-06 22:27:00,1
2019-09-07 22:37:00,1
2019-09-10 11:40:00,1
2019-09-10 16:22:00,1
2019-09-13 20:33:00,1
2019-09-15 00:05:00,1
2019-09-15 23:45:00,1
2019-09-17 21:47:00,1
2019-09-19 08:57:00,1
2019-09-19 19:07:00,1
2019-09-19 23:12:00,1
2019-09-20 01:28:00,1
2019-09-20 11:58:00,1
2019-09-21 13:47:00,1
2019-09-21 18:06:00,1
2019-09-22 20:04:00,1
2019-09-24 05:04:00,1
2019-09-24 07:17:00,1
2019-09-25 08:02:00,1
2019-09-25 19:18:00,1
2019-09-27 03:24:00,2
2019-09-27 18:31:00,1
2019-09-29 19:53:00,1
2019-09-30 01:52:00,1
2019-09-30 18:07:00,1
2019-10-02 07:50:00,1
2019-10-02 11:27:00,1
2019-10-02 11:28:00,1
2019-10-03 15:15:00,1
2019-10-05 06:02:00,1
2019-10-08 18:26:00,1
2019-10-10 21:39:00,1
2019-10-13 01:06:00,1
2019-10-13 17:07:00,1
2019-10-14 08:05:00,1
2019-10-15 19:20:00,1
2019-10-16 06:52:00,1
2019-10-17 13:46:00,1
2019-10-19 08:26:00,1
2019-10-20 09:45:00,1
2019-10-20 20:47:00,1
2019-10-21 01:27:00,1
2019-10-21 02:59:00,1
2019-10-22 22:00:00,1
2019-10-22 23:19:00,1
2019-10-23 01:08:00,1
2019-10-24 09:55:00,1
2019-10-27 08:55:00,1
2019-10-27 14:08:00,1
2019-10-27 22:19:00,1
2019-10-28 02:42:00,1
2019-10-28 12:54:00,1
2019-10-29 02:13:00,1
2019-11-01 17:53:00,1
2019-11-02 00:50:00,1
2019-11-02 01:17:00,1
2019-11-03 01:54:00,1
2019-11-04 12:27:00,1
2019-11-04 14:39:00,1
2019-11-05 02:37:00,1
2019-11-05 17:14:00,1
2019-11-06 02:25:00,1
2019-11-06 20:22:00,1
2019-11-08 21:33:00,1
2019-11-09 13:21:00,1
2019-11-09 17:10:00,1
2019-11-11 19:02:00,1
2019-11-13 16:06:00,1
2019-11-15 00:51:00,1
2019-11-15 03:25:00,1
2019-11-16 14:04:00,1
2019-11-17 05:08:00,1
2019-11-19 14:16:00,1
2019-11-21 20:08:00,1
2019-11-22 09:21:00,1
2019-11-22 12:41:00,1
2019-11-22 21:40:00,1
2019-11-24 11:09:00,1
2019-11-27 12:40:00,1
2019-11-27 13:38:00,1
2019-11-28 11:44:00,1
2019-11-30 17:19:00,1
2019-12-01 00:58:00,1
2019-12-01 13:39:00,1
2019-12-02 06:24:00,1
2019-12-03 21:35:00,1
2019-12-04 04:17:00,1
2019-12-04 06:39:00,1
2019-12-04 23:43:00,1
2019-12-05 10:03:00,1
2019-12-05 11:19:00,1
2019-12-05 11:33:00,1
2019-12-06 12:28:00,1
2019-12-06 15:52:00,1
2019-12-06 22:35:00,1
2019-12-07 13:39:00,1
2019-12-07 21:33:00,1
2019-12-07 22:59:00,1
2019-12-08 08:06:00,1
2019-12-08 16:59:00,1
2019-12-09 02:03:00,1
2019-12-09 16:22:00,1
2019-12-10 01:35:00,1
2019-12-11 20:19:00,1
2019-12-12 11:20:00,1
2019-12-13 17:55:00,1
2019-12-14 07:04:00,1
2019-12-17 19:44:00,1
2019-12-18 03:22:00,1
2019-12-18 09:06:00,1
2019-12-20 00:34:00,1
2019-12-22 16:03:00,1
2019-12-24 17:58:00,1
2019-12-25 05:31:00,1
2019-12-25 16:55:00,1
2019-12-26 03:32:00,1
2019-12-27 00:39:00,1
2019-12-27 13:45:00,1
2019-12-27 16:55:00,1
2019-12-30 17:45:00,1
