5,"SELECT TOP # s.mjd, s.plate, s.fiberid, s.ra, s.dec FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = # and g BETWEEN # AND #"
2019-10-08 03:03:00,2
2019-10-08 03:06:00,2
2019-10-08 06:23:00,1
