2,"SELECT objid, ra, dec FROM PhotoPrimary WHERE flags & (dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) ) = # and Type = # and objid = #"
2019-03-27 03:33:00,1
2019-03-27 03:36:00,1
