2,"select all p.ra, p.dec, p.objID, p.psffwhm_u, psffwhm_g, psffwhm_r, psffwhm_i, psffwhm_z into mydb.SeeingData from PhotoObj as p where abs (sin (p.ra * #) ) < # or abs (p.dec - #) < #"
2019-11-22 03:04:00,1
2019-11-22 03:11:00,1
