60,"SELECT TOP # p.objId, p.ra, p.dec, p.petror9#_r FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.petror9#_r > #"
2019-01-30 13:38:00,1
2019-02-18 16:16:00,1
2019-02-19 11:45:00,2
2019-02-19 11:48:00,1
2019-02-19 11:49:00,1
2019-02-19 11:50:00,2
2019-02-19 11:51:00,3
2019-02-19 12:01:00,1
2019-02-27 13:43:00,1
2019-02-27 13:44:00,2
2019-02-27 13:45:00,1
2019-02-27 13:48:00,1
2019-02-27 13:49:00,1
2019-02-27 13:54:00,1
2019-02-27 13:55:00,1
2019-02-27 13:59:00,1
2019-02-27 14:00:00,1
2019-02-27 14:01:00,2
2019-02-27 14:02:00,1
2019-02-27 14:04:00,2
2019-02-27 14:06:00,1
2019-02-28 12:06:00,1
2019-04-11 06:15:00,2
2019-04-11 07:08:00,1
2019-04-18 15:43:00,3
2019-04-29 16:47:00,2
2019-04-29 16:49:00,1
2019-04-29 16:53:00,2
2019-07-02 03:26:00,1
2019-07-17 16:56:00,2
2019-09-20 17:39:00,1
2019-09-20 17:40:00,1
2019-09-30 10:14:00,1
2019-09-30 10:17:00,1
2019-09-30 10:18:00,1
2019-09-30 10:22:00,2
2019-09-30 10:23:00,3
2019-09-30 10:27:00,2
2019-10-20 04:22:00,1
2019-12-17 06:49:00,1
2019-12-17 07:16:00,1
2019-12-17 07:40:00,1
2019-12-17 07:41:00,1
