1040,"SELECT TOP # G.objID, GN.distance FROM Galaxy as G JOIN dbo.fGetNearbyObjEq (#., #, #) AS GN ON G.objID = GN.objID ORDER BY distance"
2019-01-01 08:51:00,1
2019-01-01 11:07:00,1
2019-01-02 00:15:00,1
2019-01-02 00:46:00,1
2019-01-02 00:50:00,1
2019-01-03 11:07:00,1
2019-01-03 13:26:00,1
2019-01-04 19:08:00,1
2019-01-05 06:49:00,1
2019-01-05 11:02:00,1
2019-01-05 11:18:00,1
2019-01-06 12:39:00,1
2019-01-07 00:07:00,1
2019-01-07 21:42:00,1
2019-01-07 23:29:00,1
2019-01-07 23:47:00,1
2019-01-08 02:58:00,1
2019-01-08 03:27:00,1
2019-01-08 05:20:00,1
2019-01-08 06:25:00,1
2019-01-08 07:26:00,1
2019-01-08 08:39:00,1
2019-01-08 10:30:00,1
2019-01-09 01:31:00,1
2019-01-10 02:10:00,1
2019-01-10 13:18:00,2
2019-01-10 14:22:00,1
2019-01-10 21:54:00,1
2019-01-11 04:40:00,1
2019-01-11 09:09:00,1
2019-01-11 17:53:00,1
2019-01-12 03:06:00,1
2019-01-12 09:27:00,1
2019-01-13 08:28:00,1
2019-01-13 09:06:00,1
2019-01-14 11:09:00,1
2019-01-14 21:39:00,1
2019-01-16 01:50:00,1
2019-01-17 04:24:00,1
2019-01-18 17:44:00,1
2019-01-19 02:02:00,1
2019-01-20 18:18:00,1
2019-01-22 08:11:00,1
2019-01-22 08:24:00,1
2019-01-22 09:47:00,1
2019-01-22 20:47:00,1
2019-01-22 21:16:00,1
2019-01-23 20:03:00,1
2019-01-23 22:14:00,1
2019-01-23 23:25:00,1
2019-01-24 12:29:00,1
2019-01-25 11:09:00,1
2019-01-25 12:39:00,1
2019-01-25 15:55:00,1
2019-01-26 10:28:00,1
2019-01-26 17:46:00,1
2019-01-27 09:35:00,1
2019-01-27 21:29:00,1
2019-01-28 12:59:00,1
2019-01-28 13:49:00,1
2019-01-29 00:39:00,1
2019-01-29 14:37:00,1
2019-01-30 09:28:00,1
2019-01-30 15:30:00,2
2019-01-30 21:00:00,1
2019-01-31 04:31:00,1
2019-02-01 07:18:00,1
2019-02-01 08:57:00,1
2019-02-01 11:26:00,1
2019-02-01 21:07:00,1
2019-02-02 07:30:00,1
2019-02-02 14:22:00,1
2019-02-03 20:30:00,1
2019-02-04 13:38:00,1
2019-02-04 14:10:00,1
2019-02-04 14:39:00,1
2019-02-08 00:23:00,1
2019-02-08 01:31:00,1
2019-02-08 04:16:00,1
2019-02-08 16:48:00,1
2019-02-08 18:09:00,1
2019-02-08 22:14:00,1
2019-02-09 11:51:00,1
2019-02-09 17:31:00,1
2019-02-09 18:23:00,1
2019-02-09 20:30:00,1
2019-02-10 05:48:00,1
2019-02-10 09:41:00,1
2019-02-11 04:53:00,1
2019-02-11 06:26:00,1
2019-02-11 11:11:00,1
2019-02-11 15:01:00,1
2019-02-11 21:29:00,1
2019-02-11 22:28:00,1
2019-02-11 23:05:00,1
2019-02-12 00:30:00,1
2019-02-12 00:31:00,1
2019-02-12 15:07:00,1
2019-02-12 18:41:00,1
2019-02-12 18:56:00,1
2019-02-13 12:14:00,1
2019-02-13 22:49:00,1
2019-02-13 23:57:00,1
2019-02-14 09:13:00,1
2019-02-14 10:59:00,1
2019-02-14 12:05:00,1
2019-02-14 12:09:00,1
2019-02-14 12:41:00,1
2019-02-15 02:39:00,1
2019-02-15 04:37:00,1
2019-02-16 00:11:00,1
2019-02-16 17:03:00,1
2019-02-17 07:48:00,1
